company,country,county,city,address,postal_code,category,subcategory,type,registration_id,email,email2,email3,phone,phone2,phone3,website,contact_person,contact_dept,contact_title,products,services,activity,employees,revenue,founded,vat_id,cui,status,notes,anofm_email,anofm_phone,anofm_address,web_email,web_phone,web_website,best_email,best_phone,best_address,verified,source_file,source_system,scrape_date,update_date,export_date,priority,score,tags,campaign_id,notes2
Betty Ice Distribution SRL,RO,Alba,,"Cugir,Str.Alexandru Sahia,Nr.18",,Toneta fixa inghetata,,,10345/17.05.2023,,,,,,,,,,,,,27.inregistrate punct vanzare mobil,,,,,,,,,,,,,,,,"Cugir,Str.Alexandru Sahia,Nr.18",,27.inregistrate-punct-vanzare-mobil_3.xls,,,,,,,,,
Betty Ice Distribution SRL,RO,Alba,,"Alba Carolina Mall,Str.Alex.I.Cuza,Nr.2,R19",,Stand comercial (toneta inghetata),,,10506/04.09.2023,,,,,,,,,,,,,27.inregistrate punct vanzare mobil,,,,,,,,,,,,,,,,"Alba Carolina Mall,Str.Alex.I.Cuza,Nr.2,R19",,27.inregistrate-punct-vanzare-mobil_3.xls,,,,,,,,,
INDPRODCOM SRL,RO,Alba,VA - BN - 3151 din 07.04.2021,comercializarea bauturilor calde si a diverselor produse alimentare ambalate catre consumatorul final,,Automate vanzare produse alimentare,,,2/18.01.2023,,,,,,,,,,,,,28.inregistrate automate vanzare prod alimentare,,,,,,,,,,,,,,,,comercializarea bauturilor calde si a diverselor produse alimentare ambalate catre consumatorul final,,28.inregistrate-automate-vanzare-prod-alimentare_3.xls,,,,,,,,,
NORDEXIM COFFEE  SERVICES SRL,RO,Alba,VA - BN - 3155 din 22.04.2021,comercializarea bauturilor calde si a diverselor produse alimentare ambalate catre consumatorul final,,Automate vanzare produse alimentare,,,10/11.03.2021,,,,,,,,,,,,,28.inregistrate automate vanzare prod alimentare,,,,,,,,,,,,,,,,comercializarea bauturilor calde si a diverselor produse alimentare ambalate catre consumatorul final,,28.inregistrate-automate-vanzare-prod-alimentare_3.xls,,,,,,,,,
LIDL Discount SRL,RO,Alba,Supermarket,"Magazin pentru comercializarea hranei pentru animale de companie, accesoriilor",,Automate vanzare produse alimentare,,,18/12.07.2021,,,,,,,,,,,,,28.inregistrate automate vanzare prod alimentare,,,,,,,,,,,,,,,,"Magazin pentru comercializarea hranei pentru animale de companie, accesoriilor",,28.inregistrate-automate-vanzare-prod-alimentare_3.xls,,,,,,,,,
OMV Petrom Marketing SRL,RO,Alba,VA - BN - 3161 din 03.07.2023,comercializarea bauturilor calde catre consumatorul final,,Automate vanzare produse alimentare,,,29/21.11.2022,,,,,,,,,,,,,28.inregistrate automate vanzare prod alimentare,,,,,,,,,,,,,,,,comercializarea bauturilor calde catre consumatorul final,,28.inregistrate-automate-vanzare-prod-alimentare_3.xls,,,,,,,,,
SC LIDL DISCOUNT SRL,RO,Alba,Supermarket,"Magazin pentru comercializarea hranei pentru animale de companie, accesoriilor",,COACERE PRODUSE CONGELATE,,,534/28.08.2024,,,,,,,,,,,,,42.inregistrate comercializ prod. coacere congelate,,,,,,,,,,,,,,,,"Magazin pentru comercializarea hranei pentru animale de companie, accesoriilor",,42.inregistrate-comercializ-prod.-coacere-congelate_1_2.xls,,,,,,,,,
SC LIDL DISCOUNT S.R.L.,RO,Alba,Supermarket,"Magazin pentru comercializarea hranei pentru animale de companie, accesoriilor",,COACERE PRODUSE CONGELATE,,,560/28.08.2024,,,,,,,,,,,,,42.inregistrate comercializ prod. coacere congelate,,,,,,,,,,,,,,,,"Magazin pentru comercializarea hranei pentru animale de companie, accesoriilor",,42.inregistrate-comercializ-prod.-coacere-congelate_1_2.xls,,,,,,,,,
SC LIDL DISCOUNT S.R.L.,RO,Alba,Supermarket,"Magazin pentru comercializarea hranei pentru animale de companie, accesoriilor",,COACERE PRODUSE CONGELATE,,,611/28.08.2024,,,,,,,,,,,,,42.inregistrate comercializ prod. coacere congelate,,,,,,,,,,,,,,,,"Magazin pentru comercializarea hranei pentru animale de companie, accesoriilor",,42.inregistrate-comercializ-prod.-coacere-congelate_1_2.xls,,,,,,,,,
LIDL DISCOUNT SRL,RO,Alba,Supermarket,"Magazin pentru comercializarea hranei pentru animale de companie, accesoriilor",,COACERE PRODUSE CONGELATE,,,651/28.08.2024,,,,,,,,,,,,,42.inregistrate comercializ prod. coacere congelate,,,,,,,,,,,,,,,,"Magazin pentru comercializarea hranei pentru animale de companie, accesoriilor",,42.inregistrate-comercializ-prod.-coacere-congelate_1_2.xls,,,,,,,,,
LIDL DISCOUNT SRL,RO,Alba,Supermarket,"Magazin pentru comercializarea hranei pentru animale de companie, accesoriilor",,COACERE PRODUSE CONGELATE,,,1021/28.08.2024,,,,,,,,,,,,,42.inregistrate comercializ prod. coacere congelate,,,,,,,,,,,,,,,,"Magazin pentru comercializarea hranei pentru animale de companie, accesoriilor",,42.inregistrate-comercializ-prod.-coacere-congelate_1_2.xls,,,,,,,,,
LIDL DISCOUNT SRL,RO,Alba,Supermarket,"Magazin pentru comercializarea hranei pentru animale de companie, accesoriilor",,COACERE PRODUSE CONGELATE,,,1027/15.12.2020,,,,,,,,,,,,,42.inregistrate comercializ prod. coacere congelate,,,,,,,,,,,,,,,,"Magazin pentru comercializarea hranei pentru animale de companie, accesoriilor",,42.inregistrate-comercializ-prod.-coacere-congelate_1_2.xls,,,,,,,,,
LIDL DISCOUNT SRL,RO,Alba,Supermarket,"Magazin pentru comercializarea hranei pentru animale de companie, accesoriilor",,COACERE PRODUSE CONGELATE,,,1081/28.08.2024,,,,,,,,,,,,,42.inregistrate comercializ prod. coacere congelate,,,,,,,,,,,,,,,,"Magazin pentru comercializarea hranei pentru animale de companie, accesoriilor",,42.inregistrate-comercializ-prod.-coacere-congelate_1_2.xls,,,,,,,,,
LIDL DISCOUNT SRL,RO,Alba,Supermarket,"Magazin pentru comercializarea hranei pentru animale de companie, accesoriilor",,COACERE PRODUSE CONGELATE,,,617/30.04.2013,,,,,,,,,,,,,42.inregistrate comercializ prod. coacere congelate,,,,,,,,,,,,,,,,"Magazin pentru comercializarea hranei pentru animale de companie, accesoriilor",,42.inregistrate-comercializ-prod.-coacere-congelate_1_2.xls,,,,,,,,,
Betty Ice Distribution SRL,RO,Alba,,"Cugir,Str.Alexandru Sahia,Nr.18",,Toneta fixa inghetata,,,10345/17.05.2023,,,,,,,,,,,,,27.inregistrate punct vanzare mobil,,,,,,,,,,,,,,,,"Cugir,Str.Alexandru Sahia,Nr.18",,27.inregistrate-punct-vanzare-mobil_1_2.xls,,,,,,,,,
Betty Ice Distribution SRL,RO,Alba,,"Alba Carolina Mall,Str.Alex.I.Cuza,Nr.2,R19",,Stand comercial (toneta inghetata),,,10506/04.09.2023,,,,,,,,,,,,,27.inregistrate punct vanzare mobil,,,,,,,,,,,,,,,,"Alba Carolina Mall,Str.Alex.I.Cuza,Nr.2,R19",,27.inregistrate-punct-vanzare-mobil_1_2.xls,,,,,,,,,
OMV Petrom Marketing SRL,RO,Alba,VA - BN - 3161 din 03.07.2023,comercializarea bauturilor calde catre consumatorul final,,Fast-Food,,,7265/15.06.2016,,,,,,,,,,,,,17.inregistrate restaurant,,,,,,,,,,,,,,,,comercializarea bauturilor calde catre consumatorul final,,17.inregistrate-restaurant_2.xls,,,,,,,,,
Rompetrol Downstreet SRL,RO,Alba,,"ALBA IULA,STR.ALEXANDRU IOAN CUZA,Nr.30",,Magazin alimentar-Vanzare internet,,,8238/08.11.2021,,,,,,,,,,,,,25.inregistrate unitati vanzare internet,,,,,,,,,,,,,,,,"Alba Iulia,Bdul Ferdinand,Nr.66,Statie Distributie Carburanti",,25.inregistrate-unitati-vanzare-internet_3.xls,,,,,,,,,
Rompetrol Downstreet SRL,RO,Alba,,"ALBA IULA,STR.ALEXANDRU IOAN CUZA,Nr.30",,Fast-Food-Vanzare internet,,,8238/08.11.2021,,,,,,,,,,,,,25.inregistrate unitati vanzare internet,,,,,,,,,,,,,,,,"Alba Iulia,Bdul Ferdinand,Nr.66,Statie Distributie Carburanti",,25.inregistrate-unitati-vanzare-internet_3.xls,,,,,,,,,
Arsan Wholesale SRL,RO,Alba,,11186/31.03.2025,,Unitate Vanzare prin internet,,,11186/31.03.2025,,,,,,,,,,,,,25.inregistrate unitati vanzare internet,,,,,,,,,,,,,,,,"Alba Iulia,Str.Energiei,Nr.15",,25.inregistrate-unitati-vanzare-internet_3.xls,,,,,,,,,
