company,country,county,city,address,postal_code,category,subcategory,type,registration_id,email,email2,email3,phone,phone2,phone3,website,contact_person,contact_dept,contact_title,products,services,activity,employees,revenue,founded,vat_id,cui,status,notes,anofm_email,anofm_phone,anofm_address,web_email,web_phone,web_website,best_email,best_phone,best_address,verified,source_file,source_system,scrape_date,update_date,export_date,priority,score,tags,campaign_id,notes2
"Comert cu amanuntul""",582/10.02.2020,,,,,BRASOV,,,,,,,5821022020,,,,,,,,,,,,,,,,,,,,,,,,,,,MASTER_CLEAN.csv,,,,,,,,,
B&B Team SRL,Alba,,,,,Carmangerie,,,,contact@bb-team.ro,,,0723605084,,,,,,,,,,,,,,,,,,,,,,,,,,,MASTER_CLEAN.csv,,,,,,,,,
CARREFOUR ROMANIA SRL,Alba,,,,,COACERE PRODUSE CONGELATE,,,,iuliana_ferugean@carrefour.com,,,40751157913,,,,,,,,,,,,,,,,,,,,,,,,,,,MASTER_CLEAN.csv,,,,,,,,,
Dacia SA,Alba,,,,,Supermarket,,,,cazare@pensiunea-dacia.ro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MASTER_CLEAN.csv,,,,,,,,,
I.I Ispas Luca,Alba,,,,,Carmangerie,,,,ispas_luca@yahoo.com,,,40744572894,,,,,,,,,,,,,,,,,,,,,,,,,,,MASTER_CLEAN.csv,,,,,,,,,
Ivet SRL,Alba,,,,,Supermarket,,,,sc_ivet_srl@yahoo.com,,,40735845720,,,,,,,,,,,,,,,,,,,,,,,,,,,MASTER_CLEAN.csv,,,,,,,,,
Kaufland Romania SCS,Alba,,,,,Automate vanzare produse alimentare,,,,iuliana-andra.badiu@kaufland.ro,,,403720905056005,,,,,,,,,,,,,,,,,,,,,,,,,,,MASTER_CLEAN.csv,,,,,,,,,
LA DOCTORU VET SRL,Alba,,,,,BAR,,,,grozamarian1990@gmail.com,,,40769289761,,,,,,,,,,,,,,,,,,,,,,,,,,,MASTER_CLEAN.csv,,,,,,,,,
MAGIC GRUP SRL,Alba,,,,,DEPOZIT CEREALE,,,,info@pensiunea-magic.ro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MASTER_CLEAN.csv,,,,,,,,,
MAGNOLIA SRL,Alba,,,,,DEPOZIT ALIMENTAR PT. PRODUSE DE ORIGINE NONANIMALA,,,,contact@pensiunea-magnolia.ro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MASTER_CLEAN.csv,,,,,,,,,
