company,country,county,city,address,postal_code,category,subcategory,type,registration_id,email,email2,email3,phone,phone2,phone3,website,contact_person,contact_dept,contact_title,products,services,activity,employees,revenue,founded,vat_id,cui,status,notes,anofm_email,anofm_phone,anofm_address,web_email,web_phone,web_website,best_email,best_phone,best_address,verified,source_file,source_system,scrape_date,update_date,export_date,priority,score,tags,campaign_id,notes2
Ianosi Carn SRL,RO,Alba,,1029/14.07.08,,Carmangerie,,,8/15.02.07,,,,,,,,,,,,,01.inregistrate carmangerie AB,,,,,,,,,,,,,,,,"Aiud, str.Gradinii,nr.1",,01.inregistrate-carmangerie-AB_3.xls,,,,,,,,,
Neptun SRL,RO,Alba,Magazin alimentar,"Mun. Botosani, Str.Primaverii, Nr.30, Jud.Botosani",,Carmangerie,,,9/15.02.2022,,,,,,,,,,,,,01.inregistrate carmangerie AB,,,,,,,,neptunalbaiulia@gmail.com,,,,,,neptunalbaiulia@gmail.com,,"Mun. Botosani, Str.Primaverii, Nr.30, Jud.Botosani",,01.inregistrate-carmangerie-AB_3.xls,,,,,,,,,
Marius Prod Impex SRL,RO,Alba,,5/14.02.07,,Carmangerie,,,5/14.02.07,,,,,,,,,,,,,01.inregistrate carmangerie AB,,,,,,,,,,,,,,,,"Alba Iulia,str.Livezii,nr.37",,01.inregistrate-carmangerie-AB_3.xls,,,,,,,,,
Seicean  V.SRL,RO,Alba,INACTIVA 01.03.2025,73/24.07.2020,,Carmangerie,,,73/24.07.2020,,,,,,,,,,,,,01.inregistrate carmangerie AB,,,,,,,,,,,,,,,,"Blaj, str.Timotei Cipariu,nr.9",,01.inregistrate-carmangerie-AB_3.xls,,,,,,,,,
Alimvet SRL,RO,Alba,,4/14.02.07,,Carmangerie,,,4/14.02.07,,,,,,,,,,,,,01.inregistrate carmangerie AB,,,,,,,,,,,,,,,,"Cimpeni,str.Motilor,nr.36",,01.inregistrate-carmangerie-AB_3.xls,,,,,,,,,
Compil Motul SRL,RO,Alba,,19/20.02.07,,Carmangerie,,,19/20.02.07,,,,,,,,,,,,,01.inregistrate carmangerie AB,,,,,,,,,,,,,,,,"Cimpeni,str.Motilor,nr.75",,01.inregistrate-carmangerie-AB_3.xls,,,,,,,,,
IF Groza Dan,RO,Alba,,13/19.02.2007,,Carmangerie,,,13/19.02.2007,,,,,,,,,,,,,01.inregistrate carmangerie AB,,,,,,,,,,,,,,,,"Daia Romana,nr.277",,01.inregistrate-carmangerie-AB_3.xls,,,,,,,,,
IF Blaga,RO,Alba,,14/18.02.07,,Carmangerie,,,14/18.02.07,,,,,,,,,,,,,01.inregistrate carmangerie AB,,,,,,,,,,,,,,,,"Daia Romana,nr.93",,01.inregistrate-carmangerie-AB_3.xls,,,,,,,,,
Bioterra SRL,RO,Alba,,2769/ 03.06.2022,,Carmangerie,,,660/30.11.07,,,,,,,,,,,,,01.inregistrate carmangerie AB,,,,,,,,,,,,,,,,"Dostat,Str.Fermei,nr.1",,01.inregistrate-carmangerie-AB_3.xls,,,,,,,,,
B&B Team SRL,RO,Alba,,".SANTIMBRU,CALEA BLAJULU,NR.2",,Carmangerie,,,35/09.03.07,,,,,,,,,,,,,01.inregistrate carmangerie AB,,,,,,,,,,,contact@bb-team.ro,0723605084,https://www.bb-team.ro,,,".SANTIMBRU,CALEA BLAJULU,NR.2",,01.inregistrate-carmangerie-AB_3.xls,,,,,,,,,
