company_name,email,country,city,website,address,contract_value,authority,authority_country,cpv,notice_id,year
PERFECTED s.r.o.,0@0.cz,CZE,Brno - Horní Heršpice,,Bohunická 595/85,93000000,Statutární město Karviná,CZE,30200000,683612-2024,2024
Masarykova univerzita,101090@mail.muni.cz,CZE,Brno - Brno-město,,Žerotínovo náměstí 617/9,1000000000,Ředitelství silnic a dálnic s. p.,CZE,71351914,410858-2025,2025
Ing. Eliška Krošláková,1111@111.cz,CZE,Vacenovice,,,401850,Státní pozemkový úřad,CZE,71319000,480350-2025,2025
Ing. Martina Dlabajová,1234@567.cz,CZE,Moravské Budějovice,,,63650,Státní pozemkový úřad,CZE,71319000,78237-2025,2025
1C Pro s.r.o.,1cpro@1cpro.cz,CZE,Praha,http://www.1cpro.cz/index.php,Radcina 491/18,1960692.0,Krajska hospodarska komora v Plzenskem kraji,CZ,80000000,042706-2020,2020
Kardio - Line  spol. s r.o.,1.dusek@kardioline.cz,CZE,Brno,,Antoninska 552/5,4810330.0,Oblastni nemocnice Nachod a.s.,CZ,33155000,461184-2023,2023
"1. Geo, spol. s r.o.",1geo@1geo.cz,CZE,Prostějov,,Hradební 81/6,6417050,Státní pozemkový úřad,CZE,71250000,731105-2024,2024
1. projekční CZ s.r.o.,1.projekcnicz@seznam.cz,CZE,Praha - Staré Město,,Národní 981/17,9000499,"ČEZ Distribuce, a. s.",CZE,71323100,474464-2025,2025
1. VASTO spol. s r.o.,1vasto@1vasto.cz,CZE,Vsetín - Rokytnice,,Na Dolansku 295,14942734,Městys Hustopeče nad Bečvou,CZE,45000000,401502-2025,2025
Ing. Petr Urubek,2222@222.cz,CZE,Dubňany,,,401850,Státní pozemkový úřad,CZE,71319000,480350-2025,2025
TEMPOSERVIS 24 s.r.o.,24@temposervis.cz,CZE,Praha - Krč,,Točitá 1964/34,,"Česká pošta, s.p.",CZE,50100000,716487-2025,2025
Petr Koudelka,30.koudelka@seznam.cz,CZE,Benecko - Horní Štěpanice,,Benecko 30,13727029,Správa Krkonošského národního parku,CZE,77211000,690580-2025,2025
Ing. Miroslav Reichstäter,33333@3333.cz,CZE,Brno,,,633099,Státní pozemkový úřad,CZE,71319000,458420-2024,2024
Petr Bílek,3b@3b-instruments.cz,CZE,Nové Město na Moravě,,Petrovická 857,318551,Fakultní nemocnice Bulovka,CZE,33140000,641871-2025,2025
3Dees Industries s.r.o.,3dees@3dees.cz,CZE,Praha - Nusle,https://www.3dees.cz,Doudlebská 1699/5,12859644,"Vyšší odborná škola obalové techniky a Střední škola, Štětí, Kostelní 134, příspěvková organizace",CZE,30232100,545119-2025,2025
3K značky s.r.o.,3kznacky@3kznacky.cz,CZE,Říčany,https://www.3k-znacky.cz/,Jiráskova 1519/8,342845,Ředitelství silnic a dálnic s. p.,CZE,45111100,794554-2025,2025
"3V & H, s.r.o.",3vah@3vah.cz,CZE,Uherský Brod,,Prakšická 2495,36999999,Obec Krásensko,CZE,45000000,609522-2024,2024
4 Army s.r.o.,4armyvs@seznam.cz,CZE,Brno,,Pražákova 1008/69,61986704,Ministerstvo obrany,CZE,34223300,3730-2025,2025
4bridges s.r.o.,4bridges@4bridges.com,CZE,Praha - Střešovice,,Slunná 541/27,1824720,Ředitelství silnic a dálnic s. p.,CZE,71000000,444514-2025,2025
4bridges s.r.o.,4bridges@4bridges.cz,CZE,Praha - Střešovice,,Slunná 541/27,2289943,Ředitelství silnic a dálnic s. p.,CZE,71000000,343644-2025,2025
