company_name,email,country,city,website,address,contract_value,authority,authority_country,cpv,notice_id,year
0.1 ApS,0.1apsflex@gmail.com,DNK,Ikast,,Bakkegårdsparken 11e,1700000000,"FynBus,Midttrafik,Sydtrafik",DNK,60000000,208801-2025,2025
01 aps,01herning@gmail.com,DNK,Herning,,Havremarken 4,400000000.00,Trafikselskabet Movia,DNK,60000000,74485-2025,2025
0.2 aps,0.2apsflex@gmail.com,DNK,Ikast,,Bakkegårdsparken 11e,1700000000,"FynBus,Midttrafik,Sydtrafik",DNK,60000000,208801-2025,2025
Balling og Omegns Brugsforening a.m.b.a.,05037@daglibrugsen.dk,DNK,Spøttrup,,Søndergade 5,,Skive Kommune,DNK,15000000,295051-2025,2025
MA Flextrafik aps,0605@live.dk,DNK,Horsens,,Vedbæksalle 59,1700000000,"FynBus,Midttrafik,Sydtrafik",DNK,60000000,208801-2025,2025
0 aps,0apsflex@gmail.com,DNK,Ikast,,Bakkegårdsparken 11e,1700000000,"FynBus,Midttrafik,Sydtrafik",DNK,60000000,208801-2025,2025
0,0flextrafik@gmail.com,DNK,Ikast,,Baklegårdsparken 11E,1700000000,"FynBus,Midttrafik,Sydtrafik",DNK,60000000,208801-2025,2025
Fonnex Taxi,1@silkeborgtaxi.com,DNK,Hampen,,Valmuevej 9,1700000000,"FynBus,Midttrafik,Sydtrafik",DNK,60000000,208801-2025,2025
2WATER Aps,2water@2water.dk,DNK,Vejen,https://2water.dk/,Fuglesangsvej 16,17167000,NOVAFOS A/S,DNK,42912300,465287-2024,2024
Dustin A/S,5003@dustin.com,DNK,Viby J,,Åhave Parkvej 27,1758310.00,Danmarks Tekniske Universitet - DTU,DNK,48000000,804870-2025,2025
Jørgen Dahl Hedegaard,6150076@gmail.com,DNK,Horsens,,Soløjevej 20,1700000000,"FynBus,Midttrafik,Sydtrafik",DNK,60000000,208801-2025,2025
64-Trafik ApS,64trafik@gmail.com,DNK,Ringsted,,Høm møllevej 1,400000000.00,Trafikselskabet Movia,DNK,60000000,74485-2025,2025
8464,7430ismail@gmail.com,DNK,Galten,,Blomsterparken 65b,1700000000,"FynBus,Midttrafik,Sydtrafik",DNK,60000000,208801-2025,2025
Codan Forsikring A/S,9mw@codan.dk,DNK,Frederiksberg C,,Gammel Kongevej 60,12208581,Københavns Kommune,DNK,66513200,242188-2024,2024
A&4 Aps,a4.hannan.aps@gmail.com,DNK,Odense M,,skovsbovænget 18,400000000.00,Trafikselskabet Movia,DNK,60000000,74485-2025,2025
Alba Turist ApS,aa@albaturist.dk,DNK,København SV,,Vasbygade 18,5600000,Rødovre Kommune,DNK,60140000,738146-2025,2025
Arne Hald A/S,aa@arnehald.dk,DNK,Holstebro,,,4363000,Holstebro Kommune,DNK,42000000,743284-2024,2024
HCS A/S Transport & Spedition,aac@hcs.dk,DNK,Glostrup,,Hvissingevej 100,52000000,Egedal Kommune,DNK,90511000,114619-2025,2025
