company_name,email,country,city,website,address,contract_value,authority,authority_country,cpv,notice_id,year
Cyclomedia Technology BV,000@000.com,NLD,Zaltbommel,,Van Voordenpark 1b,560000,Espoon kaupunki,FIN,79960000,569260-2024,2024
&Flux B.V.,000@00.NL,NLD,Rotterdam,,,86064,Provincie Zuid-Holland,NLD,79620000,112255-2024,2024
Andersson Elffers Felix,a.aanbestedingen@aef.nl,NLD,Utrecht,https://www.aef.nl,Maliebaan 16,6800,Vereniging van Nederlandse Gemeenten,NLD,79620000,804156-2025,2025
Lafeber Interim- & Projectmanagement B.V.,aad.lafeber@lafeberipm.nl,NLD,Houten,,Sparrenhout 7,714216,Gemeente Rotterdam,NLD,79620000,211385-2024,2024
Fundament Plus B.V.,a.ahrouch@fundamentplus.nl,NLD,Amsterdam,https://fundamentplus.nl/,Pierre Cuypershof 20,261202500,Gemeente Almere,NLD,85000000,582047-2024,2024
Carrosserie Akkermans B.V.,a.akkermans@akkermans1811.com,NLD,Oud Gastel,www.akkermans1811.com,Watermolen 8,460275.0,Danmarks Radio,DK,32000000,505549-2023,2023
Caparis nv,aaldrik.scholtens@caparis.nl,NLD,Drachten,http://www.caparis.nl,Amperelaan 2,5.0,Gemeente Smallingerland,NL,80000000,384007-2021,2021
Payt B.V.,a.al-harazi@paytsoftware.com,NLD,Groningen,,Ubbo Emmiussingel 21,800.000,Kamer van Koophandel,NLD,72000000,711027-2024,2024
P2 Proces- en Projectmanagers B.V.,aanbesteden@p2.nl,NLD,Utrecht,,Nijverheidsweg 16 G,150377,Gemeente Rotterdam,NLD,79620000,306731-2024,2024
To Interface,aanbesteden@tointerface.nl,NLD,Vught,https://www.tointerface.nl,Esscheweg 69,278000,Waterschap Rivierenland,NLD,79620000,361276-2025,2025
Weverling Groenproviders,aanbesteden@weverling.nl,NLD,Monster,https://www.weverling.nl,Boomaweg 27 A,,NS Stations,NLD,50000000,638963-2025,2025
Actief Werkt! Techniek B.V.,aanbesteding@actiefwerkt.nl,NLD,GRONINGEN,http://www.actiefwerkt.nl,Hooghoudtstraat 2,,Gemeenschappelijke Regeling Avres,NLD,79620000,650946-2025,2025
"A.H. Vrij Groen, Grond en Infra B.V.",Aanbesteding@ahvrij.nl,NLD,Wateringen,https://www.ahvrij.nl/,Stoelmatter 41,,Gemeente Leidschendam-Voorburg,NLD,90510000,312036-2025,2025
Certus Groep,aanbesteding.ams@certusgroep.nl,NLD,Rotterdam,https://www.certusgroep.nl,Wijnhaven 3 U,14800000,Gemeente Den Haag,NLD,79620000,50958-2025,2025
Archipel Consultancy B.V.,aanbesteding@archipelconsultancy.nl,NLD,Schiedam,,Kreupelstraat 46,219033,Provincie Zuid-Holland,NLD,79620000,764500-2024,2024
Blue Facilitair B.V.,aanbesteding@bluegroep.nl,NLD,Rijswijk,,Heulweg 25,,Gemeente Den Haag,NLD,90900000,347096-2025,2025
bouAd adviesgroep,aanbesteding@bouad.nl,NLD,Katwijk,,Zeeweg 144,186660,Gemeente Rotterdam,NLD,79620000,498070-2025,2025
B�gelHajema Adviseurs B.V.,aanbesteding@bugelhajema.nl,NLD,Assen,https://www.bugelhajema.nl,Vaart N.Z. 50,1,Bizob,NLD,71000000,396653-2025,2025
Buurtdiensten Nederland B.V.,aanbesteding@buurtdiensten.nl,NLD,Almelo,,,3664000000,Gemeente Hoorn,NLD,85000000,243682-2025,2025
Cauberg Huygen bv,aanbesteding@cauberghuygen.nl,NLD,Rotterdam (Kralingen),http://www.cauberghuygen.nl,Hoofdweg 70,1.0,Gemeente Den Haag,NL,71000000,287235-2020,2020
Cycloon Post B.V.,aanbesteding@cycloon.eu,NLD,ZWOLLE,http://www.cycloon.eu,Floresstraat 9,375000.0,Gemeente Deventer,NL,64110000,636074-2022,2022
DDK,aanbesteding@ddk.nl,NLD,Utrecht,http://www.ddk.nl,Helling 13,,Gemeente Utrecht,NLD,79342000,562883-2025,2025
Dimensio Verpakkingen B.V.,aanbesteding@dimensio.nl,NLD,Almere,http://www.dimensio.nl,Wittevrouwen 1,,Gemeente Venray,NLD,19640000,838111-2025,2025
DVTadvies B.V.,aanbesteding@dvtadvies.nl,NLD,Utrecht,,Savannahweg 25 B,,Gemeente Den Haag,NLD,45262700,536295-2025,2025
Visma Connect bv,aanbesteding@ebpi.nl,NLD,'s-Gravenhage,http://www.ebpi.nl,Prinses Catharina-Amaliastraat 5,1.0,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,NL,72000000,302033-2020,2020
abcnova bv,aanbestedingen@abcnova.nl,NLD,Utrecht,,2e Daalsedijk 6a,1.0,De Connectie voor gemeente Rheden,NL,71541000,362506-2021,2021
Abilitec Flex B.V.,aanbestedingen@abilitec.nl,NLD,Zwijndrecht,,Scheepmakerij 300 A,381.394,Gemeente Rotterdam,NLD,79620000,144492-2024,2024
AB Vakwerk Groep B.V.,aanbestedingen@abvakwerk.nl,NLD,SNEEK,http://www.abvakwerk.nl,Zeilmakersstraat 19,,Gemeente Noordoostpolder,NLD,79600000,567287-2025,2025
Aces Direct B.V.,aanbestedingen@acesdirect.nl,NLD,TILBURG,http://www.acesdirect.nl,Rosa Castellanosstraat 1,,Stroomopwaarts MVS,NLD,30000000,842708-2025,2025
Actacom Nederland bv,aanbestedingen@actacom.nl,NLD,Utrecht,http://www.actacom.nl,Maarssenbroeksedijk 51,247000.0,Stichting ICT Beheer,NL,30213000,291658-2020,2020
Veeg- en Rioolbedrijf Adriaans B.V.,aanbestedingen@adriaansriooltechniek.nl,NLD,MIERLO,http://www.adriaansriooltechniek.nl,Loeswijk 40,189225,Gemeente Land van Cuijk,NLD,90470000,108077-2025,2025
Aebi Schmidt Nederland B.V.,aanbestedingen@aebi-schmidt.com,NLD,HOLTEN,http://www.aebi-schmidt.nl,Handelsweg 8,367526,Gemeente Leusden,NLD,34144430,200986-2025,2025
Andersson Elffers Felix (AEF),aanbestedingen@aef.nl,NLD,Utrecht,,Maliebaan 16,,"ministerie van Volksgezondheid, Welzijn en Sport",NLD,79990000,614368-2025,2025
AENC,aanbestedingen@aenc.nl,NLD,ALBLASSERDAM,http://www.aenc.nl,Van Hennaertweg 6,258138.0,gemeente Aalten,NLD,32320000,315249-2025,2025
AT Osborne B.V.,aanbestedingen@atosborne.nl,NLD,Baarn,https://www.atosborne.nl,J.F. Kennedylaan 100,316160,Gemeente Rotterdam,NLD,79620000,1725-2025,2025
Attero BV,aanbestedingen@attero.nl,NLD,WIJSTER,http://www.attero.nl,Vamweg 7,3.0,Gemeente Arnhem,NLD,90510000,176078-2025,2025
Axiflex B.V.,aanbestedingen@axiflex.nl,NLD,Rotterdam,,Beursplein 37,894880,Gemeente Rotterdam,NLD,79620000,671391-2025,2025
Balance Ervaring Op Projectbasis B.V.,aanbestedingen@balance.nl,NLD,Utrecht,http://www.balance.nl,Papendorpseweg 97,,Rijkswaterstaat Grote Projecten en Onderhoud,NLD,71000000,456676-2025,2025
Base Consultancy B.V.,aanbestedingen@base-consultancy.nl,NLD,'S-GRAVENHAGE,http://www.base-consultancy.nl,Prisma 16,1,Stichting voor Educatie en Beroepsonderwijs Zadkine,NLD,71000000,172506-2025,2025
bbn adviseurs,aanbestedingen@bbn.nl,NLD,HOUTEN,http://www.bbn.nl,De Molen 65,,Gemeente Dijk en Waard,NLD,71000000,510789-2025,2025
BDO Audit & Assurance B.V.,aanbestedingen@bdo.nl,NLD,EINDHOVEN,http://www.bdo.nl,Philitelaan 73,,Waterschap Limburg,NLD,79212500,559513-2025,2025
Bender Detachering B.V.,aanbestedingen@bendergroep.nl,NLD,AMSTERDAM,http://www.bendergroep.nl,Jacob Bontiusplaats 9331,900000.0,Veiligheids- en Gezondheidsregio Gelderland-Midden,NLD,79620000,287138-2025,2025
Bertens Bouw B.V.,aanbestedingen@bertensbouw.nl,NLD,Tilburg,https://www.bertensbouw.nl,Polluxstraat 8,,Gemeente Breda,NLD,50000000,658975-2025,2025
Beter Thuis Wonen Holding,aanbestedingen@beter-thuis-wonen.nl,NLD,Hoogeveen,http://www.beter-thuis-wonen.nl,Elbe 12,,Gemeente Borger-Odoorn,NLD,98514000,523224-2025,2025
Blauw Research,aanbestedingen@blauw.com,NLD,Rotterdam,,Coolsingel 55,4000000,ministerie van Algemene Zaken,NLD,73000000,207139-2025,2025
Bloeij B.V.,aanbestedingen@bloeij.nl,NLD,Helmond,http://www.bloeij.nl,Schootense Dreef 23,,Stichting Hogeschool Rotterdam,NLD,79634000,201395-2025,2025
Bluekens Truck en Bus B.V.,aanbestedingen@bluekens.nl,NLD,Breda,https://www.bluekens.nl,Tinstraat 1,3000000,Gemeente Oosterhout,NLD,50100000,162058-2025,2025
Boer Speeltoestellen B.V. h.o.d.n. BOERplay,aanbestedingen@boerplay.com,NLD,NIEUWENDIJK,http://www.boerplay.com,Hyacintstraat 2,0.11,Gemeente Houten,NLD,43325000,847698-2025,2025
Bunnik B.V.,aanbestedingen@bunnikgroep.nl,NLD,Alphen aan den Rijn,http://www.bunnikgroep.nl,Antonie van Leeuwenhoekweg 6,,Gemeente Amstelveen,NLD,77310000,57715-2025,2025
BVNG Advies B.V.,aanbestedingen@bvng.nl,NLD,Groningen,,Friesestraatweg 211,900000.0,Veiligheids- en Gezondheidsregio Gelderland-Midden,NLD,79620000,287138-2025,2025
Cannock Chase Public,aanbestedingen@cannockchase.nl,NLD,DRUTEN,http://www.cannockchase.nl,Van Heemstraweg 58,,Gemeenschappelijke Regeling Belastingsamenwerking West-Brabant,NLD,75242110,189234-2025,2025
Cantorclin Schoonmaak B.V.,aanbestedingen@cantorclin.nl,NLD,MEPPEL,http://www.cantorclin.nl,Oeverlandenweg 2C,203500.0,Driestar educatief,NLD,90919300,100439-2025,2025
CAOP,aanbestedingen@caop.nl,NLD,Den Haag,http://www.caop.nl,Lange Voorhout 13,330000.0,Vereniging PO-raad,NLD,79996000,785780-2025,2025
"CE - Onderzoek, Advies en Consultancy voor     Duurzaamheid B.V.",aanbestedingen@ce.nl,NLD,Delft,https://ce.nl/,Oude Delft 180,12000,Gemeente Leidschendam-Voorburg,NLD,71300000,523201-2025,2025
Conscia Nederland B.V.,aanbestedingen@conscia.com,NLD,GOUDA,https://conscia.com/nl/,Kampenringweg 47,290000.0,De Connectie,NLD,32400000,735469-2024,2024
Considerati B.V.,aanbestedingen@considerati.com,NLD,Amsterdam,https://www.considerati.com,De Boelelaan 7,2750000,SURF B.V.,NLD,79000000,6653-2025,2025
CSU B.V.,aanbestedingen@csu.nl,NLD,Uden,https://www.csu.nl,Verlengde Velmolen 1,11629672,Stichting iHUB Onderwijs,NLD,90900000,603298-2025,2025
Data B. Mailservice B.V.,aanbestedingen@datab.nl,NLD,Leek,http://www.datab.nl,Kapteynlaan 23,1.0,Gemeente Westerkwartier,NLD,48000000,170750-2025,2025
Dutch Build-Management B.V.,aanbestedingen@db-m.nl,NLD,Houten,http://www.db-m.nl,Korte schaft 21 j,4.0,Gemeente Assen,NL,71300000,449668-2023,2023
Den Ouden Organic B.V.,aanbestedingen@denoudengroep.com,NLD,SCHIJNDEL,http://www.denoudengroep.com,Hermalen 7,,gemeente Nissewaard,NLD,90510000,825340-2025,2025
de Rolf groep B.V.,aanbestedingen@derolfgroep.nl,NLD,Ochten,http://www.derolfgroep.nl,Mercuriusweg 14,,Stip Hilversum,NLD,30200000,519535-2025,2025
DE UNIE ARCHITECTEN B.V.,aanbestedingen@deuniearchitecten.nl,NLD,GRONINGEN,http://www.deuniearchitecten.nl,Suikerlaan 28,459338.84,Gemeente Lelystad,NLD,71000000,43151-2025,2025
Donkergroen B.V.,aanbestedingen@donkergroen.nl,NLD,SNEEK,http://www.donkergroen.nl,Harste 5,10.0,Gemeente Assen,NLD,77313000,164205-2024,2024
Donker Groep B.V.,aanbestedingen@donkergroep.com,NLD,SNEEK,http://www.donkergroep.com,Harste 5,,Gemeente Amersfoort,NLD,79998000,162775-2025,2025
DPI,aanbestedingen@dpi.nl,NLD,Den Haag,http://www.dpi.nl,Dr Lelykade 56,120000000.0,"Ministerie van Algemene Zaken, Dienst Publiek en Communicatie",NL,79340000,396271-2023,2023
draaijer+partners B.V.,aanbestedingen@draaijerpartners.nl,NLD,Groningen,,Leonard Springerlaan 37,101736,Gemeente Rotterdam,NLD,79620000,869661-2025,2025
Driessen B.V.,aanbestedingen@driessen.nl,NLD,Helmond,https://www.driessen.nl,Schootense Dreef 15,,Gemeente Nijmegen,NLD,79620000,790873-2025,2025
Eelerwoude B.V.,aanbestedingen@eelerwoude.nl,NLD,GOOR,http://www.eelerwoude.nl,Mossendamsdwarsweg 3,2500000.0,Gemeente Berkelland,NLD,90721700,622296-2025,2025
Eiffel B.V.,aanbestedingen@eiffel.nl,NLD,ARNHEM,http://www.eiffel.nl,Meander 1061,545670.0,Gemeente Haarlemmermeer,NLD,79000000,23312-2025,2025
Gortemaker Algra Feenstra architects B.V.,aanbestedingen@gaf.eu,NLD,Rotterdam,,Wilhelminakade 310,,Sint-Trudo Ziekenhuis VZW,BEL,71223000,281942-2025,2025
Gebr. De Leeuw B.V.,aanbestedingen@gebrdeleeuw.nl,NLD,Oosterhout,http://gebrdeleeuw.nl,Beurtvaartweg 8 8,4640000.0,Gemeente Schiedam,NLD,45220000,769940-2024,2024
Gemeenteoplossingen B.V.,aanbestedingen@gemeenteoplossingen.nl,NLD,GRONINGEN,http://www.gemeenteoplossingen.nl,Zeewinde 9-6,,SED Organisatie,NLD,72000000,837795-2025,2025
Globen Intervent B.V.,aanbestedingen@globen.nl,NLD,Apeldoorn,http://www.globen.nl,Europaweg 161,,Diamant-groep,NLD,79620000,68058-2025,2025
GP Groot inzameling en recycling bv,aanbestedingen@gpgroot.nl,NLD,ALKMAAR,http://www.gpgroot.nl,Boekelerdijk 13,390517,Werkorganisatie BUCH,NLD,90510000,83080-2025,2025
Greenchoice Zakelijk N.V.,aanbestedingen@greenchoice.nl,NLD,Rotterdam,http://www.greenchoice.nl,Kruisplein 15,100.0,Stichting Zuyd Hogeschool,NLD,09000000,492405-2025,2025
GRIND Advies B.V.,aanbestedingen@grindadvies.nl,NLD,Arnhem,,Zijpendaalseweg 8,460000,Waterschap Rivierenland,NLD,79620000,355548-2025,2025
Haaima B.V.,aanbestedingen@haaima.nl,NLD,Leeuwarden,https://www.haaima.nl/,Coronaweg 2,1.0,Gemeente Harlingen,NLD,34136000,868696-2025,2025
Haert B.V.,aanbestedingen@haert.nl,NLD,Helmond,,Vlamovenweg 2,,Brabant Water N.V.,NLD,79620000,535724-2025,2025
Hakkers B.V.,aanbestedingen@hakkers.com,NLD,Werkendam,https://www.hakkers.com,Oudsas 11,51100000,Havenbedrijf Rotterdam,NLD,45000000,99787-2025,2025
hectas Facility Services C.V.,aanbestedingen@hectas.nl,NLD,DUIVEN,http://www.hectas.nl,Geograaf 30,3612050.0,Stichting Breda University of applied sciences,NLD,90919300,263693-2024,2024
Hegeman Bouw & Infra B.V.,aanbestedingen@hegeman.com,NLD,Nijverdal,https://www.hegeman.com/,Ernst Machstraat 11,8400000,Gemeente Rijswijk,NLD,45211350,451566-2025,2025
HEVO B.V.,aanbestedingen@hevo.nl,NLD,Den Bosch,http://www.hevo.nl,Statenlaan 8,1.0,Gemeente Zundert,NLD,71240000,542542-2024,2024
HR Via Care B.V.,aanbestedingen@hrviacare.nl,NLD,ROTTERDAM,http://www.hrviacare.nl,Bahialaan 400,,ProRail B.V.,NLD,79620000,446888-2024,2024
iBabs B.V.,aanbestedingen@ibabs.eu,NLD,Hoorn,http://www.ibabs.eu,Maelsonstraat 284,1.0,Gemeente Dongen,NLD,72000000,759018-2025,2025
IJK B.V.,aanbestedingen@ijk.nl,NLD,HELMOND,https://www.ijk.nl,Vlamovenweg 4,3372268.0,VISTA college,NLD,48000000,180259-2025,2025
Mourik Infra B.V.,aanbestedingen-infra@mourik.com,NLD,GROOT-AMMERS,http://www.mourik.com,Voorstraat 67,59970854.99,"Rijkswaterstaat Programma's, Projecten en Onderhoud",NLD,45240000,737743-2025,2025
SPIE Infratechniek B.V.,aanbestedingen.infratechniek@spie.com,NLD,Breda,http://www.spie-nl.com,Huifakkerstraat 15,,Gemeente Bergen op Zoom,NLD,50232100,612481-2025,2025
InterConcept B.V.,aanbestedingen@intergarantgroep.nl,NLD,'t Harde,http://www.interconcept.nl,Graaf Reinoldweg 4,,Gemeente Leudal,NLD,71310000,495450-2025,2025
Interstellar IT Services B.V.,aanbestedingen@interstellar.nl,NLD,ENSCHEDE,http://www.interstellar.nl,Hengelosestraat 501,,BIJ12 namens IPO,NLD,72513000,854889-2025,2025
iSense & ... bv,aanbestedingen@isense.nl,NLD,Gouda,,Zuidelijk Halfrond 11,327600.0,Ministerie van Justitie en Veiligheid,NL,79620000,044830-2020,2020
Op Naar Nul B.V.,aanbestedingen@isonn.nl,NLD,Arnhem,,Van Oldenbarneveldtstraat 922,395000.0,Vereniging Christelijk Voortgezet Onderwijs Rotterdam en omstreken,NLD,09330000,275298-2025,2025
Stichting Karakter,aanbestedingen@karakter.com,NLD,EDE,http://www.karakter.com,Horalaan 5,,gemeente Doetinchem,NLD,85000000,483530-2025,2025
KH Plastics B.V.,aanbestedingen@kh-plastics.nl,NLD,Rotterdam,,Breevaartstraat 33,1.700000,gemeente Het Hogeland,NLD,14700000,401108-2024,2024
Kraaijvanger,aanbestedingen@kraaijvanger.nl,NLD,ROTTERDAM,http://www.kraaijvanger.nl,Blaak 40,1313450.0,Rijksvastgoedbedrijf,NLD,71221000,365919-2025,2025
Aannemrsbedrijf G.B. van Hoek bv,aanbestedingen@kramer-groep.nl,NLD,Delft,,Vulcanusweg 307,550000,Ministerie van BZK,NLD,45421000,564297-2025,2025
Kreuze BV,aanbestedingen@kreuze.nl,NLD,MAASTRICHT-AIRPORT,http://www.kreuze.nl,Amerikalaan 14,763832.0,GGD Zuid Limburg,NLD,64200000,699327-2024,2024
Aannemings- en Install.Bedr. Kwakernaak B.V.,aanbestedingen@kwakernaak.nl,NLD,Groot-Ammers,,Stevinweg 3,600000,Gemeente Rotterdam,NLD,45350000,578860-2025,2025
KWK Huisvesting B.V.,aanbestedingen@kwkbv.nl,NLD,ROTTERDAM,http://www.kwkbv.nl,Weena 723C7.007,,Stichting Hogeschool Rotterdam,NLD,70333000,201587-2025,2025
Leeuwendaal Advies B.V.,aanbestedingen@leeuwendaal.nl,NLD,Utrecht,http://www.leeuwendaal.nl,Winthontlaan 1,,Stichting Hogeschool Rotterdam,NLD,79635000,100171-2025,2025
ASR Schadeverzekering N.V.,aanbestedingen@loyalis.nl,NLD,UTRECHT,,Archimedeslaan 10,1.0,Stichting VierTaal,NLD,66510000,695012-2025,2025
Laanbroek Schoeman Adviseurs B.V.,aanbestedingen@lsadviseurs.nl,NLD,ROTTERDAM,http://www.lsadviseurs.nl,Jan Leentvaarlaan 25,,Veiligheidsregio Rotterdam-Rijnmond,NLD,79000000,121763-2024,2024
Omgevingsdienst Nederland B.V.,aanbestedingen@lybrae.nl,NLD,Eindhoven,https://www.omgevingsdienstnederland.nl,Anderlechtstraat 15,1000000,Gemeente Goeree-Overflakkee,NLD,75110000,7495-2025,2025
Lysias Advies B.V.,aanbestedingen@lysiasadvies.nl,NLD,AMERSFOORT,https://www.lysiasadvies.nl/,Soesterweg 310D,,Provincie Noord-Brabant,NLD,80500000,737694-2025,2025
