company_name,email,country,city,website,address,contract_value,authority,authority_country,cpv,notice_id,year
Telia Norge AS,02150@telia.no,NOR,Oslo,,Lørenfaret 1A,1475000,Stiftelsen Design og arkitektur Norge,NOR,72000000,250232-2024,2024
Asko Øst AS,02425@asko.no,NOR,VESTBY,,Delitoppen 4,206000000,VESTBY KOMMUNE,NOR,15800000,250081-2025,2025
Norsk Makulering AS,09710@norskmakulering.no,NOR,LYSAKER,,Lysaker Torg 35,4000000.0,Norsk Helsenett SF,NO,90510000,449127-2023,2023
3M Norge AS,3m.premiumcustomer.no@mmm.com,NOR,Lillestrm,,Trudgata 16,14600000.0,Sykehusinnkjp HF,NO,33100000,184831-2021,2021
3RW arkitekter,3rw@3rw.no,NOR,bergen,,pb 1131,2400000,Moss kommune,NOR,71000000,556641-2024,2024
C. M. Mathiesen & Co AS,AA@cmmco.no,NOR,OSLO,,Brynsengveien 5,120000000,Oslo kommune v/ Utviklings- og kompetanseetaten,NOR,50700000,148008-2025,2025
Energy AS,aadne@energy-as.no,NOR,STAVANGER,,Vestliveien 20,0,STATSBYGG,NOR,71315200,803124-2025,2025
CAPGEMINI NORGE AS,aadne.grimsgaard@capgemini.com,NOR,Oslo,,"Postboks 475, Skøyen",8350000,Entur AS,NOR,72000000,95691-2025,2025
Spire Innovasjon,aadne@spireinnovasjon.no,NOR,KLEPPE,,Kjøpmannsbrotet 8,14400000,Rogaland fylkeskommune,NOR,73200000,203993-2024,2024
Gunnarshaug Trykkeri AS,aage@gunnarshaug.no,NOR,Stavanger,http://www.gunnarshaug.no,Auglendsdalen 81,6000000.0,Universitetet i Stavanger,NO,22000000,043401-2020,2020
Aircomfort Trøndelag AS,aage.tromsdal@aircomfort.no,NOR,Verdal,,Neptunveien 2B,,Verdal Kommune,NOR,50000000,625907-2025,2025
Cowi AS,aalb@cowi.com,NOR,Oslo,,Karvesvingen 2,375000000,"Anskaffelser i Akershus, Buskerud og Østfold KO",NOR,71240000,263037-2025,2025
Kvalitet og Risiko Norge,aa@qrn.no,NOR,SANDVIKA,,Kjørbokollen 30,3500000,Skatteetaten,NOR,80590000,378948-2024,2024
Maverix Media AS,Aarsether@outlook.com,NOR,Oslo,,Tordenskiolds gate 3,6000000,Departementenes sikkerhets- og serviceorganisasjon,NOR,79550000,801301-2024,2024
AART ARCHITECTS NO AS,aart@aart.dk,NOR,OSLO,,St. Olavs plass 5,742449199,SYKEHUSINNKJØP HF,NOR,71000000,603558-2024,2024
Norconsult Norge AS,aase.marie.hunskaar@norconsult.com,NOR,Sandvika,,Vestfjordgaten 4,0,Vestfold fylkeskommune,NOR,71530000,197815-2025,2025
Skytech Control AS,aaserud@skytechcontrol.io,NOR,Oslo,https://www.skytechcontrol.no,Stortingsgata 4,320000,Kragerø Kommune,NOR,48000000,722235-2024,2024
Lunder & Aas Rørleggerservcie as,aas@lunder-aas.no,NOR,Jessheim,,Storgata 11b,110000000,Øvre Romerike Innkjøpssamarbeid,NOR,76480000,48051-2024,2024
Advania Norge AS,ab@advania.no,NOR,Oslo,,Pilestredet 33,3000000,Andøy kommune,NOR,72000000,601040-2025,2025
Arkel Asker og Bærum AS,ab@arkel.no,NOR,HVALSTAD,,Ravnsborgveien 56,76000000,Drammen Eiendom KF,NOR,45000000,73883-2025,2025
AGS-Bygg AS,abedin@agsbygg.no,NOR,Oslo,,Østensjøveien 15 B ,40000000,Oslo kommune v/ Utviklings- og kompetanseetaten,NOR,50000000,632267-2025,2025
Move AS,abe@move.no,NOR,Oslo,,Po.Box 9252 Grønland,200000000,Karmøy kommune,NOR,30000000,151030-2025,2025
Abrahamsson & Haugstvedt AS,abha@abha.no,NOR,Krokstadelva,,Gamle Riksvei 235,150000000,Øvre Eiker kommune,NOR,71500000,110675-2025,2025
Abmas Elektro AS,abmas@elektrikerne.no,NOR,Lørenskog,,Lørenskogveien 75,270000000,STATSBYGG,NOR,45000000,350269-2024,2024
Norsk Konstruksjonsrådgivning AS,ab@nokr.no,NOR,7652,,Neptunvegen 1,12000000,Andøy kommune,NOR,71000000,45202-2025,2025
Viken Care AS,abo@minoriteten-bemanning.no,NOR,Oslo,,Toppåsveien 73B,300000000,Sarpsborg kommune,NOR,85000000,98499-2025,2025
Advokatfirmaet Grette AS,absa@grette.no,NOR,OSLO,,Filipstad brygge 2,,Vestland fylkeskommune,NOR,75000000,785224-2025,2025
SR Entreprenør,ab@sr-entreprenor.no,NOR,Bryne,,Nordlysveien 1,83755497,Rogaland fylkeskommune,NOR,45000000,417710-2024,2024
Åsebø Bygdeservice AS,abygdeservice@hotmail.com,NOR,Gurskøy,,Myrvågvegen 72,,Herøy municipality,NOR,90620000,658438-2025,2025
Aclima AS,aclima@aclima.no,NOR,KRØDEREN,,Sundvollhovet,3548000,Forsvaret v/Forsvarets logistikkorganisasjon,NOR,18000000,519386-2024,2024
