company_name,email,country,city,website,address,contract_value,authority,authority_country,cpv,notice_id,year
Popa Victor-Haralambie-Alexandru,16victorpopa@gmail.com,ROU,Bucuresti,www.necunoscut.ro,"Str. Ramnicu Valcea nr. 3 bl. B sc.1 et.6 ap.26, sector 3",550.0,"MUZEUL NATIONAL AL SATULUI ""DIMITRIE GUSTI""",RO,92312200,481208-2023,2023
IDATIM BUCOVINA S.R.L.,1989timis1989@gmail.com,ROU,Panaci,https://www.idatimbucovina.ro,"Strada Principala, Nr. 62",160028.62,REGIA NATIONALA A PADURILOR - ROMSILVA RA - D.S. Caras-Severin,ROU,77211100,776619-2025,2025
HYGIENE ONE S.R.L.,1hygieneone@gmail.com,ROU,Bucuresti,https://hygieneone.ro/,"Strada Străuleşti, Nr. 17/23, Sector: 1",39143547.8,Institutul Regional de Oncologie Iasi,ROU,33100000,527219-2025,2025
21 MGM PREST S.R.L.,21mgmprest@gmail.com,ROU,Letea Veche,www.21mgmprest.ro,"Strada TRECATOAREA HOLTULUI, Nr. 119A",18200.0,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO,77211100,625626-2022,2022
ATELIERUL ARHITEXT,314arhitext@gmail.com,ROU,Dumbravita,,"Strada MARTE, Nr. 15",19288559.54,Municipiul Timisoara,ROU,45210000,216221-2025,2025
3M PROJECT,3mproject@gmail.com,ROU,Timisoara,http://www.lectoraatmg.nl,"Strada Circumvalaţiunii, Nr. 24",4024041,SPITALUL JUDETEAN DE URGENTA VALCEA,ROU,33100000,857609-2025,2025
THIRD NEST,3rd.nest@gmail.com,ROU,Iasi,,"Strada Honoriu Emil, prof, Nr. 22A",40727929.84,COMUNA VALEA LUPULUI,ROU,45214200,288899-2025,2025
SC 4 EST MACS CONSTRUCT SRL,4estmacs@gmail.com,ROU,Bucuresti,,"Strada Lucaciu Vasile, preot, Nr. 17 si 19, Sector: 3",,Administratia Publica Locala Orasul Popesti - Leordeni,ROU,45000000,65366-2024,2024
4M BUSINESS,4mbusinessbv.seap@gmail.com,ROU,Sacele,https://www.google.ro,"Strada Bisericii Romane, Nr. 38",471610,ORASUL PANCIU,ROU,39160000,541984-2025,2025
4M BUSINESS,4mbusiness.seap@gmail.com,ROU,Sacele,https://www.google.ro,"Strada Bisericii Romane, Nr. 38",1011785,ORASUL CALAN,ROU,39100000,475992-2025,2025
23 FILM STUDIO & MEDIA,a23film@gmail.com,ROU,Cluj-Napoca,https://www.23film.ro,"Strada Avram Iancu, Nr. 2",682635,CONSILIUL JUDETEAN GORJ,ROU,79952000,790253-2025,2025
Advance Still S.R.L.,a.advancestill@gmail.com,ROU,Brasov,www.advancestill.ro,"Str. Szemler Ferenc nr. 4, bloc 4, ap. 103",2852941.0,Judetul Maramures (Consiliul Judetean Maramures),RO,18424300,289040-2020,2020
Stratulat Albulescu SPRL,aalbulescu@saa.ro,ROU,Bucuresti,https://www.stratulat-albulescu.ro/ro/,"Strada Danielopolu Daniel, Nr. 30-32, Sector: 1",319799,Societatea Nationala NUCLEARELECTRICA S.A.,ROU,66170000,759453-2024,2024
