company_name,email,country,city,website,address,contract_value,authority,authority_country,cpv,notice_id,year
Grabrodragatans handlednings- och                 psykoterapimottagning AB,013152392@telia.com,SWE,LINKOPING,,"Mikael Nilsson, Kattfotstigen 7",9000000.0,Region Ostergotland,SE,80590000,248443-2022,2022
Skogsvardaren Michael Larsson AB,024037069@telia.com,SWE,NYHAMMAR,,Stallbergsvagen 1,2800000.0,LUDVIKA KOMMUN,SE,77200000,504384-2023,2023
Christer Gustavssons Entreprenad AB,0495.13127@telia.com,SWE,Hultsfred,,Bangardsgatan 12,1000000.0,Ostra Smalands Kommunalteknikforbund,SE,90620000,286993-2020,2020
GUTEFÅRAKADEMIN,0498485248@telia.com,SWE,KLINTEHAMN,https://www.hornfar.se,"Björn Hjernquist, Sproge Snoder 808",15000000,Statens Jordbruksverk,SWE,90721700,394602-2024,2024
S-Konsulten,0521.220506@telia.com,SWE,Vargön,https://www.msb.se/,Tennisvägen 2,5000000,Myndigheten för Samhällsskydd och Beredskap (Msb),SWE,71631000,392156-2024,2024
Magnus Johansson Skogsvard & Tra AB,0707191818.ajf@gmail.com,SWE,Gustafs,,"Kurgatu 14, Solvarbo",1500000.0,LANSSTYRELSEN I DALARNAS LAN,SE,77200000,367832-2021,2021
Smålandssotaren AB,1069@vaxjosot.se,SWE,Sävsjö,https://smalandssotaren.se,BRÄDGÅRDSGATAN 9,140000000,Jönköpings kommun,SWE,90915000,334981-2024,2024
LONDON STOCK EXCHANGE GROUP PLC,1@1.com,SWE,-,,-,1700000,Stockholms universitet,SWE,48441000,121986-2025,2025
Gävle Taxi 129000 AB,12@gavletaxi.se,SWE,Gävle,,,,Region Gävleborg,SWE,60100000,540232-2025,2025
Örebrobärgarna AB,18-09@assistancekaren.se,SWE,Örebro,,Skottvägen 12,8000000,Svealandstrafiken AB,SWE,50118300,80017-2025,2025
Perssons Schakt & Entreprenad AB,1891.persson@telia.com,SWE,ÖSTHAMMAR,,Kyrkogatan 16,50000000,Östhammars kommun,SWE,90620000,585939-2024,2024
2Complete AB,2Complete@buteoservices.se,SWE,Stockholm,,Sveavägen 33,,Ekerö kommun,SWE,79610000,367915-2024,2024
Atelier Meyer Architectes,2m.architecte@gmail.com,SWE,Paris,,48 rue lecourbe,,Värmdö kommun,SWE,71000000,495030-2024,2024
Färskvaruhallen i Sverige AB,3pl@nemal.se,SWE,Hässleholm,,Hövdingegatan 29,,"Region Skåne, Koncernstab inköp och ekonomistyrning",SWE,15000000,654900-2025,2025
4P Entreprenad AB,4p.entreprenad.ab@gmail.com,SWE,STIGEN,,Kallkällevägen 1,,Lidköpings kommun,SWE,60100000,817339-2025,2025
