email,company,country,city,website,contract_value,sector,suppliers
aanbestedingen@overwijk.nl,Overwijk Koffiesystemen,NLD,BUNNIK,http://www.cafesalento.nl,1,coffee,"Brazil, Colombia (Cooxupe, JDE)"
accueil@chr-caffe.com,CHR CAFFE,FRA,Thiais,,337692.84,coffee,"Brazil, Colombia (Cooxupe, JDE)"
accueil@maxicoffee.com,MAXICOFFEE SOLUTIONS SUD,FRA,Gardanne,,,coffee,"Brazil, Colombia (Cooxupe, JDE)"
adinaconstantin@yahoo.com,Adcon,RO,Ramnicu Valcea,www.adcon.com,153.0,coffee,"Brazil, Colombia (Cooxupe, JDE)"
amariei_r@ymail.com,Amariei G. Petru,RO,Horodniceni,www.amariei.com,153.0,coffee,"Brazil, Colombia (Cooxupe, JDE)"
amura_con@abv.bg,- 68 ,BG,,,11666.0,coffee,"Brazil, Colombia (Cooxupe, JDE)"
anbudsgruppen@cafebar.se,Café Bar Sverige AB,SWE,JÖNKÖPING,,17000000,coffee,"Brazil, Colombia (Cooxupe, JDE)"
anders.nilsson@jobmeal.se,Jobmeal AB,SWE,STOCKHOLM,,,coffee,"Brazil, Colombia (Cooxupe, JDE)"
andrius@acorus.lt,UAB ACORUS CALAMUS,LTU,VILNIUS,,90400.00,coffee,"Brazil, Colombia (Cooxupe, JDE)"
andrius.ceplinskas@acorus.lt,"Uždaroji akcinė bendrovė ""Acorus calamus""",LTU,Pakruojis,,41922.00,coffee,"Brazil, Colombia (Cooxupe, JDE)"
ar.guttierez@malongo.com,COMPAGNIE MEDITERRANEENE DES CAFES,FRA,Carros,,,coffee,"Brazil, Colombia (Cooxupe, JDE)"
art@koffiepartners.nl,Koffie Partners B.V.,NL,Zwijndrecht,http://www.koffiepartners.nl,1.0,coffee,"Brazil, Colombia (Cooxupe, JDE)"
avropa@beansincup.se,Beans in Cup AB,SE,Solna,,15000000.0,coffee,"Brazil, Colombia (Cooxupe, JDE)"
baromatic@wanadoo.fr,SARL BAROMATIC,FRA,FURIANI,,,coffee,"Brazil, Colombia (Cooxupe, JDE)"
bart@oke-koffie.be,OKE KOFFIE,BEL,Geraardsbergen,,,coffee,"Brazil, Colombia (Cooxupe, JDE)"
Bart@oke-koffie.be,OKE KOFFIE NV,BEL,Grammont,,1083156,coffee,"Brazil, Colombia (Cooxupe, JDE)"
BE-LU-Tender.Pro@jdecoffee.com,JACOBS DOUWE EGBERTS PRO BE BV,BEL,Brussel,http://www.jacobsdouweegbertsprofessional.be/,297414.64,coffee,"Brazil, Colombia (Cooxupe, JDE)"
ben.bidsandtenders@lyreco.com,LYRECO BELGIUM,BEL,Herstal,,,coffee,"Brazil, Colombia (Cooxupe, JDE)"
bernd.pointinger@santora.at,Santora Kaffeesysteme GmbH,AUT,Münchendorf,,11830692.90,coffee,"Brazil, Colombia (Cooxupe, JDE)"
bo.beirnaert@selecta.com,SELECTA BELGIUM NV,BEL,BOOM,,,coffee,"Brazil, Colombia (Cooxupe, JDE)"
christer.bystrom@culligan.no,CULLIGAN NORGE AS,NOR,Trollåsen,,5000000,coffee,"Brazil, Colombia (Cooxupe, JDE)"
contact@groupemerling.fr,MERLING PROFESSIONNEL,FRA,PERIGNY,,,coffee,"Brazil, Colombia (Cooxupe, JDE)"
contact@miko-cafe.fr,MIKO CAFE SERVICE,FRA,Argenteuil,,277384,coffee,"Brazil, Colombia (Cooxupe, JDE)"
customersales@se.selecta.com,Selecta AB,SWE,Trollhättan,,,coffee,"Brazil, Colombia (Cooxupe, JDE)"
deprofessional.belux@demb.com,Jacobs Douwe Egberts PRO BE BVBA,BE,Bruxelles,www.demb.com,497874.76,coffee,"Brazil, Colombia (Cooxupe, JDE)"
didier.dejaegere@cofeo.be,COFE-O SERVICES sa,BEL,Namur,http://www.cofeo.be/,,coffee,"Brazil, Colombia (Cooxupe, JDE)"
dirk@overwijk.nl,Overwijk Koffiesystemen Noord-Nederland B.V.,NLD,Gorredijk,http://www.overwijk.nl,910000,coffee,"Brazil, Colombia (Cooxupe, JDE)"
dominique.linotte@jdecoffee.com,Jacobs Douwe Egberts Pro BE BV (JDE Pro),BE,brussel,,0,coffee,"Brazil, Colombia (Cooxupe, JDE)"
Dummy-eMail-eVergabe@fb.hamburg.de,Chefs Culinar Nord GmbH & Co. KG,DEU,Hamburg,,,coffee,"Brazil, Colombia (Cooxupe, JDE)"
dummy@example.com,Café y Mas B.V.,NLD,Wijchen,http://www.cafeymas.nl,680000.0,coffee,"Brazil, Colombia (Cooxupe, JDE)"
eat_well@abv.bg,ИЙТ УЕЛ ЕАД,BGR,гр. София,,106592.60,coffee,"Brazil, Colombia (Cooxupe, JDE)"
edgaras.v@sanitex.eu,UAB OFFICEDAY,LTU,Vilnius,,169097.50,coffee,"Brazil, Colombia (Cooxupe, JDE)"
filip@oke-koffie.be,OKE KOFFIE nv,BE,Geraardsbergen,,142859.54,coffee,"Brazil, Colombia (Cooxupe, JDE)"
gastromaxkowal@vp.pl,"GASTROMAX Maciej Sarżaliński, Robert Chojnacki Spółka Komandytowa ",POL,Fabianki,,199250,coffee,"Brazil, Colombia (Cooxupe, JDE)"
gelena.kitkovskaja@coffeeaddress.lt,Coffee Address,LTU,"Avižienių k., Vilniaus r.",https://coffeeaddress.com/lt,240000.00,coffee,"Brazil, Colombia (Cooxupe, JDE)"
gestionjakecafe@gmail.com,ANGEL SANCHEZ LORBARDA SL,ESP,Arganda del Rey,,421200,coffee,"Brazil, Colombia (Cooxupe, JDE)"
g.schenkel@uu.nl,Maas International B.V,NLD,Eindhoven,,11985322,coffee,"Brazil, Colombia (Cooxupe, JDE)"
gunilla.karlstrom@beansincup.se,Beans In Cup AB,SWE,Karlstad,,,coffee,"Brazil, Colombia (Cooxupe, JDE)"
Gustaf.Bjerne@se.nestle.com,Nestlé Sverige Aktiebolag,SWE,HELSINGBORG,,,coffee,"Brazil, Colombia (Cooxupe, JDE)"
gustav.sjoberg@martinservera.se,Martin & Servera Restauranghandel AB,SE,JOHANNESHOV,,8800000.0,coffee,"Brazil, Colombia (Cooxupe, JDE)"
handel@polaris.kalisz.pl,PPH POLARIS Małgorzata Gruszczyńska,POL,Kalisz,,533790.63,coffee,"Brazil, Colombia (Cooxupe, JDE)"
hfr@frellsen.dk,Frellsen kaffe,DK,Roskilde,http://www.frellsen.dk,77000000.0,coffee,"Brazil, Colombia (Cooxupe, JDE)"
hmaas@darboven.com,J.J. Darboven GmbH & Co.KG,DEU,Hamburg,,,coffee,"Brazil, Colombia (Cooxupe, JDE)"
horeca@meinl.sk,"Julius Meinl Coffee Intl., a. s.",SVK,Bratislava - mestská časť Nové Mesto,,,coffee,"Brazil, Colombia (Cooxupe, JDE)"
igor.konjicija@jdecoffee.com,JDE Jacobs Douwe Egberts AT GmbH,AUT,Wien,,155406.86,coffee,"Brazil, Colombia (Cooxupe, JDE)"
infoat@illy.com,Illycaffe S.p.A.,AUT,Wien,,1100000.00,coffee,"Brazil, Colombia (Cooxupe, JDE)"
info@cafe-liegeois.com,PAULISTA SA (CAFES LIEGEOIS),BEL,Herve,http://www.cafe-liegeois.com/,,coffee,"Brazil, Colombia (Cooxupe, JDE)"
info@cf.nl,Coffee Fresh Westhoff B.V.,NLD,DREMPT,http://www.cf.nl,500000.0,coffee,"Brazil, Colombia (Cooxupe, JDE)"
info@corvinusasvanyviz.hu,Corvinus Ásványvíz Kft.,HUN,Debrecen,,89999937.00,coffee,"Brazil, Colombia (Cooxupe, JDE)"
info.cz@agfoods.eu,AG FOODS Group a.s.,CZ,Brno,https://www.agfoods.cz/kontakt,8400000.0,coffee,"Brazil, Colombia (Cooxupe, JDE)"
info@ekoplanet.lt,UAB Eko Planet,LTU,"Kauno raj., Narsiečių km.",www.EkoPlanet.lt,169097.50,coffee,"Brazil, Colombia (Cooxupe, JDE)"
info@gaasbeek.nl,Gaasbeek Automatenservice B.V.,NLD,Veenendaal,http://www.gaasbeek.nl,268546.2,coffee,"Brazil, Colombia (Cooxupe, JDE)"
info@javacoffee.be,The Java Coffee Company NV,BEL,Rotselaar,http://www.java.eu/,243347.44,coffee,"Brazil, Colombia (Cooxupe, JDE)"
info@maas.nl,Maas International bv,NL,Eindhoven,http://www.maas.nl,43379000.0,coffee,"Brazil, Colombia (Cooxupe, JDE)"
info@malongo.com, COMPAGNIE MEDITERRANEENE DES CAFES,FRA,CARROS ,,,coffee,"Brazil, Colombia (Cooxupe, JDE)"
info.mcs@miko.be,MIKO COFFEE SERVICE NV,BEL,Turnhout,http://www.mikocoffee.com/,,coffee,"Brazil, Colombia (Cooxupe, JDE)"
info@miko.be,MIKO COFFEE SERVICE nv,BEL,Turnhout,http://www.mikocoffee.com/,330000.00,coffee,"Brazil, Colombia (Cooxupe, JDE)"
info@mikocoffee.com,MIKO COFFE SERVICE SA,BEL,Turnhout,,1083156,coffee,"Brazil, Colombia (Cooxupe, JDE)"
info@overwijk.nl,Overwijk Koffiesystemen West-Nederland B.V.,NLD,GORREDIJK,http://www.overwijk.nl,3000000.0,coffee,"Brazil, Colombia (Cooxupe, JDE)"
info@refill.nl,Refill Coffee Service B.V.,NLD,HEYTHUYSEN,http://www.refill.nl,,coffee,"Brazil, Colombia (Cooxupe, JDE)"
infos@oc22.com,OC22 - Société française d'organisation commerciale,FRA,COLOMBES,,,coffee,"Brazil, Colombia (Cooxupe, JDE)"
info@zelst.nl,Van Zelst Automaten B.V.,NLD,EINDHOVEN,http://www.zelst.nl,,coffee,"Brazil, Colombia (Cooxupe, JDE)"
jbj@bki.dk,BKI FOODS A/S,DNK,Højbjerg,,4445740,coffee,"Brazil, Colombia (Cooxupe, JDE)"
johan.dalin@varsego.se,Varsego Sverige AB,SWE,ENKÖPING,https://www.varsego.se,7176591,coffee,"Brazil, Colombia (Cooxupe, JDE)"
johan.flodin@ahnviks.se,Nybloms Pappers Aktiebolag,SWE,KALMAR,,17000000,coffee,"Brazil, Colombia (Cooxupe, JDE)"
jonas.brandstrom@cafebar.se,Cafe Bar Sverige AB,SE,Aby,,15000000.0,coffee,"Brazil, Colombia (Cooxupe, JDE)"
jonas.enstrom@skafferivarmland.se,Värmlands Skafferi AB,SWE,KARLSTAD,https://www.skafferivarmland.se,18000000,coffee,"Brazil, Colombia (Cooxupe, JDE)"
