email,company,country,city,website,contract_value,sector,suppliers
aanbestedingen@kh-plastics.nl,KH Plastics B.V.,NLD,Rotterdam,,1.700000,copper,"Chile, Peru (Codelco, Antamina, Southern Copper)"
abanilla@aridosabanilla.com,ARIDOS ABANILLA SL,ESP,FORTUNA,,,copper,"Chile, Peru (Codelco, Antamina, Southern Copper)"
accords-cadre@raja.fr,RAJA,FRA,TREMBLAY EN FRANCE,,,copper,"Chile, Peru (Codelco, Antamina, Southern Copper)"
accounts@mannionquarries.ie,Mannion Quarries,IE,Athlone,,209800.0,copper,"Chile, Peru (Codelco, Antamina, Southern Copper)"
accueil@carrieresdelouest.fr,STE DES CARRIERES DE VOUTRE,FRA,Voutre,,,copper,"Chile, Peru (Codelco, Antamina, Southern Copper)"
achim.gaeckle@gm-gaeckle.de,Gackle Gebaudemanagement GmbH,DE,Weissbach,,0.01,copper,"Chile, Peru (Codelco, Antamina, Southern Copper)"
achizitii@klintensiv.com,SC KLINTENSIV SRL,ROU,Bragadiru,https://www.klintensiv.com,,copper,"Chile, Peru (Codelco, Antamina, Southern Copper)"
achizitii@threepharm.ro,THREE PHARM,ROU,Targu Mures,https://www.threepharm.ro,2988439,copper,"Chile, Peru (Codelco, Antamina, Southern Copper)"
acmad@abv.bg,АВТОТРАНСПОРТ И МЕХАНИЗАЦИЯ БЪЛГАРИЯ ЕАД,BGR,гр. Пловдив,,,copper,"Chile, Peru (Codelco, Antamina, Southern Copper)"
a.cordelle@actilev.fr,ACTILEV,FRA,Cognac,,,copper,"Chile, Peru (Codelco, Antamina, Southern Copper)"
a.dabrowski.olan@wp.pl,OLAN Sp. z o.o. ,POL,Lublin,,94534295.5,copper,"Chile, Peru (Codelco, Antamina, Southern Copper)"
adam.gloersen@swerock.se,Swerock Aktiebolag,SE,Rosersberg,www.swerock.se,5000000.0,copper,"Chile, Peru (Codelco, Antamina, Southern Copper)"
adcomercial@contelogic.com,Contelogic Sociedad Limitada,ESP,Madrid,,262500,copper,"Chile, Peru (Codelco, Antamina, Southern Copper)"
a.devanne@carrieresdefeytiat.com,DOMAINE DE LA RIANTE BORIE - LOT 2,FRA,FEYTIAT,,460000,copper,"Chile, Peru (Codelco, Antamina, Southern Copper)"
adgenera@pec.it,Adgenera,ITA,Torino (TO),https://www.adgenera.com,695977.16,copper,"Chile, Peru (Codelco, Antamina, Southern Copper)"
adipap@adipap.com,ADIPAP,FRA,VERSAILLES,,,copper,"Chile, Peru (Codelco, Antamina, Southern Copper)"
admi@aridosruberte.com,"ARIDOS Y EXCAVACIONES RUBERTE, S.L.",ESP,Villanueva de Gállego,,0.17,copper,"Chile, Peru (Codelco, Antamina, Southern Copper)"
administracion@arasfalto.com,"ARASFALTO, S.L.",ESP,Aguaviva,,0.17,copper,"Chile, Peru (Codelco, Antamina, Southern Copper)"
administracion@areaeco.com,TRITURADOS Y HORMIGONES VIDAL SL,ESP,SIERRA ENGARCERAN,,0.05,copper,"Chile, Peru (Codelco, Antamina, Southern Copper)"
administracion@aridosalcala.com,ÁRIDOS ALCALÁ S.L.,ESP,ESPERA,,,copper,"Chile, Peru (Codelco, Antamina, Southern Copper)"
