email,company,country,city,website,contract_value,sector,suppliers
022@lucasrojas.com,"LUCAS ROJAS LIBRERÍA PAPELERIA, S.L.",ESP,La Rambla (Córdoba),,170479.16,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
360welfare@legalmail.it,360 welfare srl,ITA,milano,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
aaaaa@aa.es,LYRECO ESPAÑA S.A.,ESP,Cornellà de Llobregat,,9372000,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
a.amores@ofipapel.es,"OFIPAPEL CENTER, S.L.",ESP,MADRID,,53734.60,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
aanbestedingen@derolfgroep.nl,de Rolf groep,NLD,Ochten,https://www.derolfgroep.nl,900000,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
aazcona@pharma-prospect.com,Pharma Prospect SL,ESP,ARGANDA DEL REY,,132750,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
abb@abbmaquinas.com,"ABB Maquinas y Equipos Ofimaticos, S.L.",ESP,ROZAS DE MADRID (LAS),,14850,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
a.behrend@mb-karton.de,MB Karton Ernst Behrend GmbH,DEU,Berlin,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
a.blomberg@buescher.de,Büscher GmbH,DEU,Bielefeld,,357060.00,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
abodia@abodia.de,Abodia IT & Medientechnik GmbH,DEU,Schwanewede,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
a.boersig@uriot.de,Uriot GmbH & Co.KG,DEU,Offenburg,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
ABVoucher@ab.gr,«ΑΛΦΑ ΒΗΤΑ» ΒΑΣΙΛΟΠΟΥΛΟΣ ΜΟΝΟΠΡΟΣΩΠΗ ΑΕ,GRC,ΓΕΡΑΚΑΣ,,1049400,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
acc-docs@cld.gr,COMPULAND ΑΕ – ΕΦΑΡΜΟΓΕΣ  ΠΛΗΡΟΦΟΡΙΚΗΣ,GRC,ΚΑΡΔΙΤΣΑ,,844357.99,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
accords-cadre@raja.fr,RAJA,FRA,Tremblay en France,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
Accords-cadre@raja.fr,RAJA,FRA,Tremblay En France,,48000,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
accueil@groupe-smb.com,SOCIETE MARTINIQUAISE BUREAUTIQUE,FRA,LE LAMENTIN,,23694819.11,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
accueil@publi24.fr,PUBLI 24,FRA,Le Mans,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
accueil@totalenergies.com,TOTALENERGIES MARKETING ANTILLES GUYANE,FRA,Baie-Mahault,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
achat-marche.public@mooncard.co,MOONGROUP,FRA,Paris 8,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
achats-marche.public@mooncard.co,MOONGROUP,FRA,Paris 8,,15000000,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
achats-marche.public@mooncard.com,PIANA,FRA,Aulnay-Sous-Bois,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
achats.marche.public@mooncard.fr,MOONGROUP,FRA,Paris,https://www.mooncard.co/,192000000,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
achizitiipublice@deebo.ro,DEEBO INTERNATIONAL,ROU,Bucuresti,,652873,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
ad5@drevona.sk,DREVONA INTERIORS s.r.o.,SVK,Bratislava,,434998.40,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
adam.wilczewski@radecepapir.si,"RADECE PAPIR NOVA, d.o.o.",SI,Radece,,48116.18,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
adimitrova@tombou.bg,ТОМБОУ-БЪЛГАРИЯ ЕООД,BGR,гр. София,https://uptombou.bg/,322865.09,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
adina@estico.ro,S.C. ESTICO S.R.L. S.R.L.,ROU,Brasov,https://www.estico.ro,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
adip@adip.cz,"ADIP, spol. s r. o.",CZE,Ostrava - Moravská Ostrava,,99452240.65,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
adl@adl-x.com, ,BG,. ,www.adl-x.com,400000.0,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
admbidoffice@indra.es,"INDRA SISTEMAS, SA",ESP,ALCOBENDAS,,795572.46,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
admin@comps.cz,"COMP`S, spol. s r.o.",CZE,Smržovka,,18168328,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@bit4id.com,BIT4ID IBERICA SL,ES,Barcelona,,261000.0,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@caype.com,"ALMACENES CAYPE, S.A.",ESP,Vitoria-Gasteiz,,145036.72,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@codisur.com,"COMERCIAL DISTRIBUIDORA DEL SUR, S.L.",ESP,MAIRENA DEL ALJARAFE,,31170,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@copyur.com,COPYUR S.L.,ESP,SEVILLA,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@dismac.es,"PAZ DISMAC, S.L.",ESP,GONDOMAR,https://dismac.es/,446280.98,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@emiliogomezabellan.com,EMILIO GOMEZ ABELLAN,ESP,FORTUNA - MURCIA,,25800,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@fersaempresas.com,FERIAS Y SISTEMAS AVANZADOS S.L.,ESP,CORDOBA ,,27560,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@fungibles7islas.com,"FUNGIBLES 7 ISLAS, S.L.",ESP,SANTA CRUZ DE TENERIFE,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@gmtechnology.es,"General Machines Technology, S.L.",ESP,Sevilla,,488889.27,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@graficasprinter.com,GAPOGRAF S.L. ,ESP,LA OROTAVA ,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@grupovisualcanarias.com,ALEXIS MELIAN DISTRIBUCIONES SLU,ESP,SAN CRISTÓBAL DE LA LAGUNA,,7251,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@ibdciencia.com,"IBERDIDACTIC, S.L.",ESP,ALCORCÓN,,5020,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@imprentapellon.com,IMPRENTA PELLON SL,ESP,Santander,,73544.6,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@metalconfort.com,METAL CONFORT S.L.,ESP,LAS PALMAS DE GC,,24056.51,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@mrpapel.com,mrpapel s.l.,ESP,Malaga,,110,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@navasluna.com,NAVAS LUNA S.L.,ESP,MERIDA,,235436.79,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@nostrumintegra.com,NOSTRUM INTEGRA SL,ESP,Molina de Segura,,8264.46,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@ofifast.com,"CASTEVILA DISTRIBUCIONES, S.L.",ESP,LORIGUILLA,,1572,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@omniainfosys.com,"Omnia Infosys, SLU",ESP,SANTA CRUZ DE TENERIFE,,201315.25,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@sistemasycopiadoras.com,Sistemas y Copiadoras de Toledo S.L.U,ESP,TOLEDO,,68022.22,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@spandex.com,"COMUNICACIÓN SPANDEX ESPAÑA, S.A.",ESP,SANT VICENÇ DELS HORTS,www.SHOP.SPANDEX.COM,3211,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administracion@sugraf.es,"TECNOLOGIA Y PRODUCTOS GRAFICOS, S.A.",ESP,ZARAGOZA,,317000,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administration-60@qrt.fr,QRT GRAPHIQUE,FRA,ST MARTIN DE VALGALGUES,,230000,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
administration.commerciale@bruneau.fr,BRUNEAU,FRA,COURTABOEUF,,672000,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
adminpec@olivetti.telecompost.it,OLIVETTI SPA SOCIETA' BENEFIT,ITA,Ivrea (TO),,144564806.01,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
admin@sglobalec.com,SPANISH GLOBAL ENGINEERING AND CONSULTANTS SL,ESP,Velez Málaga,,26198.61,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
admon.coruna@esturiongalicia.es,"ESTURIÓN GALICIA, S.L",ESP,Lugo,www.esturiongalicia.es,179699.36,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
adrian.iacob@labelmark.ro,Labelmark Solution,ROU,Targu Mures,https://www.labelmark.ro,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
ADRIANNA.GAJEWSKA@RESPOLPOLSKA.PL,RESPOL POLSKA SP. Z O.O.,POL,SZCZECIN,,123926.08,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
adv@martellepro.com,MFR MOBILIERS,FRA,Saint-Sauveur,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
adv-nantes.cit@koesio.com,KOESIO CORPORATE IT ,FRA,Nantes,,500000,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
adv@ocepscolaire.com,BUREAUTIQUE 50,FRA,Coutances,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
adv.scolaire@bureautique50.com,BUREAUTIQUE 50,FRA,Coutances,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
aepp@aepp-procurement.gr,INFORM ΛΥΚΟΣ (ΕΛΛΑΣ)  Α.Ε.,GRC,ΚΟΡΩΠΙ,,283800,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
a.foucher@centralcopie.fr,CENTRAL COPIE,FRA,POITIERS,,700000,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
agcardamone@pec.it,ARTI GRAFICHE CARDAMONE,ITA,Decollatura,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
agc@sdag.net,SDAG ADHESIFS,FRA,Weyersheim,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
agence.charente@lacouronne.com,CEPAP - COMPAGNIE EUROPEENNE DE PAPETERIE,FRA,ROULLET SAINT ESTEPHE,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
agence@emmaluc.fr,Société EMMALUC,FRA,Perpignan,,495000,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
agence.mt.direct@gpv.eu,GPV France,FRA,Saint Amarin,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
agence.strasbourg@gpv.eu,GPV France SAS,FRA,SAINT AMARIN,,9999,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
agence.sudouest@acouronne.com,COMPAGNIE EUROPEENNE DE PAPETERIE,FRA,Roullet-Saint-Estephe,,100000,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
agence.sudouest@lacouronne.com,Compagnie Européenne de Papeterie,FRA,Roullet Saint-Estephe,,920000,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
agencesudouest@lacouronne.com,COMPAGNIE EUROPÉENNE DE PAPETERIE,FRA,ROULLET ST ESTEPHE,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
ageorgieva@paraflow.bg,  ,BG,. ,https://www.paraflow.bg/,10000000.0,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
agnes.gache@paragon-cc.fr,PARAGON TRANSACTION SA,FRA,COSNE SUR LOIRE,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
agnes.grivaz@lyreco.com,"Lyreco Switzerland SA, Succursale Perly",CHE,Perly,,2320189.28,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
agnes.pecoul@pgdis.com,Co-traitant 2 : S.A.S Groupe PGDIS,FRA,ENVAL,,13993440.12,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
a.gozdan@partnerkleks.pl,Partner Kleks Sp. z o. o.,POL,Toruń,,231462.64,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
agrochulska@fairplayplus.pl,"""Fair Play Plus Marek Krzemieniewski"" Sp.k.",POL,Ząbki,,1244750.85,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
agrotisr@cytanet.com.cy,ΡΕΝΟΣ ΑΓΡΟΤΗΣ ΚΑΙ ΥΙΟΣ ΛΤΔ,CYP,Nicosia,https://www.agrotis.com.cy,581992.40,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
aguerin@groupevtech.com,GROUPE VTECH – SAS VENDEE TECH,FRA,CHALLANS,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
aich.robert@muehlbauer.de,MB Automation GmbH & Co. KG,DEU,Roding,,12000000,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
ainforbal@ainforbal.com,Ainforbal Huelva S L,ESP,Huelva,,0.28,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
ajauregui@cartonajes-gisbert.es,"CARTONAJES GISBERT, S.L.",ESP,MÓSTOLES,,5284730,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
akarpacheva@tombou.bg,ТОМБОУ-БЪЛГАРИЯ ЕООД,BGR,гр. София,https://uptombou.bg/,720000.00,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
a.kazmierska@biurolink24.pl,1. Przedsiębiorstwo Handlowe Biuro Plus Włodzimierz Leszczyński,POL,Kraków,,887874.21,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
akazmierska@biurolink24.pl,Przedsiębiorstwo Handlowe Biuro Plus Włodzimierz Leszczyński,POL,Kraków,https://www.gov.pl/web/uzp/krajowa-izba-odwolawcza,812032.52,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
ake.cadenius@wulff.fi,Wulff Oy Ab,SWE,Espoo,,468000,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
a.laberthonniere@picoty.fr,PICOTY SAS,FRA,La Souterraine,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
alain-bourhis@wanadoo.fr,Co-traitant 4: SARL BOURHIS,FRA,QUIMPER,,13993440.12,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
alain@dorat63.com,DORAT,FRA,Cournon D''Auvergne,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
alamp@igepagroup.com,E. Michaelis & Co.(GmbH&Co.)KG,DEU,Reinbek,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
alan.prudden@hidglobal.com,Access Limited,GBR,Reading,,68594114,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
a.laskowska@pryzmat.com,Pryzmat Spoka z o.o. sp.k,PL,Wrocaw,www.pryzmat.com,966418.26,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
albazul@albazul.com,ALBAZUL SERVICIOS INTEGRALES SA ,ESP,SEVILLA,,14198.57,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
alberto.fanjul@ricoh.es,RICOH ESPAÑA SLU,ESP,LLANERA,,143558.42,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
albo.fornitori@SECLAN.IT,Seclan S.r.l.,ITA,Roma,WWW.SECLAN.IT,375000.0,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
alcina@mahieu.fr,Mahieu,FRA,Comines,,,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
aledvorak@email.cz,Oldřich Dvořák,CZE,Třebovle - Miškovice,https://www.cedule-dvorak.cz/,259424,pulp_paper,"Brazil, Chile, Uruguay (Suzano, CMPC, UPM)"
