email,company,country,city,website,contract_value_eur,commodity,commodity_short,trade_agreement,tariff_benefit,supplier_count,supplier_provinces,top_suppliers
11wog.szpub@ron.mil.pl,"GMINNA SPÓŁDZIELNIA  ""Samopomoc Chłopska""",POL,Pruszcz,www.11wog.wp.mil.pl,1209316,Seafood & Fishery Products,seafood,CETA,+65%,5,"BC, NL, NB, NS","Clearwater Seafoods, High Liner Foods, Cooke Aquaculture"
2serie@diariodarepublica.pt,"Uniself - Sociedade de Restaurantes Publicos e Privados, S.A.",PRT,São Juliao do Tojal,https://uniself.pt,8951172,Seafood & Fishery Products,seafood,CETA,+65%,5,"BC, NL, NB, NS","Clearwater Seafoods, High Liner Foods, Cooke Aquaculture"
360pec@pec.it,360 SRL,IT,Roma,,1803772,Seafood & Fishery Products,seafood,CETA,+65%,5,"BC, NL, NB, NS","Clearwater Seafoods, High Liner Foods, Cooke Aquaculture"
AAAA@AAA.ES,EUREST COLECTIVIDADES S.L.,ESP,MADRID,,645690,Seafood & Fishery Products,seafood,CETA,+65%,5,"BC, NL, NB, NS","Clearwater Seafoods, High Liner Foods, Cooke Aquaculture"
aanbesteding@crabbe.be,Crabbé Dakwerken nv,BEL,Zoutleeuw,,218811,Seafood & Fishery Products,seafood,CETA,+65%,5,"BC, NL, NB, NS","Clearwater Seafoods, High Liner Foods, Cooke Aquaculture"
aba@hoka.dk,Hørkram Foodservice A/S,DNK,Sorø,,54734652,Seafood & Fishery Products,seafood,CETA,+65%,5,"BC, NL, NB, NS","Clearwater Seafoods, High Liner Foods, Cooke Aquaculture"
a.barat@lagardere-tr.fr,LAGARDERE RETAIL TRAVEL FRANCE,FRA,LEVALLOIS-PERRET ,,3500000,Seafood & Fishery Products,seafood,CETA,+65%,5,"BC, NL, NB, NS","Clearwater Seafoods, High Liner Foods, Cooke Aquaculture"
ab@aroscatering.se,Aros Catering & Evenemang i Gäddeholm AB,SWE,VÄSTERÅS,,0,Seafood & Fishery Products,seafood,CETA,+65%,5,"BC, NL, NB, NS","Clearwater Seafoods, High Liner Foods, Cooke Aquaculture"
a.barrier.perret-ra@groupeperret.fr,PERRET RHÔNE ALPES,FRA,CHABRILLAN,,0,Seafood & Fishery Products,seafood,CETA,+65%,5,"BC, NL, NB, NS","Clearwater Seafoods, High Liner Foods, Cooke Aquaculture"
a.berankova@zsmv.cz,"Vodňanská drůbež, a.s.",CZE,Vodňany - Vodňany II,,1000000000,Seafood & Fishery Products,seafood,CETA,+65%,5,"BC, NL, NB, NS","Clearwater Seafoods, High Liner Foods, Cooke Aquaculture"
a.bochanska@impel.pl,Impel Catering Sp. z o.o.,PL,Wrocaw,www.impel.pl,79020675,Seafood & Fishery Products,seafood,CETA,+65%,5,"BC, NL, NB, NS","Clearwater Seafoods, High Liner Foods, Cooke Aquaculture"
a.borsa@impel.pl,IMPEL CATERING Sp. z o.o.,POL,Wrocław,,9367112,Seafood & Fishery Products,seafood,CETA,+65%,5,"BC, NL, NB, NS","Clearwater Seafoods, High Liner Foods, Cooke Aquaculture"
