email,company,country,city,website,contract_value,sector,suppliers
accueil_bhs@bhs.fr,SAS BHS,FRA,Vemars,,1880000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
achizitiidgaspcneamt@yahoo.com,SC ELLMAR COM SRL,ROU,Targu Neamt,,42491,shrimp,"Ecuador (Santa Priscila, Omarsa)"
a.dichmann@ley-baumschule.de,Wilhelm Ley GmbH,DEU,Meckenheim,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
adm@gjennestad.no,Gjennestad Drift AS,NOR,STOKKE,,3900000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
adriainfo@smithersoasis.com,"SMITHERS-OASIS ADRIA, proizvodnja in dobava cvetličarskih izdelkov d.o.o.",SVN,Gradac,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
adv@coop-valsiagne.fr,SASU VALSIAGNE,FRA,PEGOMAS,,600000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
agrobio@seznam.cz,AGRO-BIO spol. s r.o.,CZE,Praha - Stodůlky,,5873353.2,shrimp,"Ecuador (Santa Priscila, Omarsa)"
agrokor@agrokor.si,"AGROKOR proizvodnja in promet kmetijskih, cvetličarskih, vrtnarskih in sadjarskih kultur, d.o.o., Ljubljana",SVN,Ljubljana,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
agrovosges@wanadoo.fr,AGROVOSGES,FRA,Neuvillers Sur Fave,,2420000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
alexander@houseofflowers.se,House of Flowers Sweden AB,SWE,ULRICEHAMN,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
alexandra.damberg@gmail.com,Blomstertid i Borensberg,SE,Borensberg,,2000000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
alicia-pj@hotmail.es,Alicia Pérez Jiménez,ESP,Granada,,89543.4,shrimp,"Ecuador (Santa Priscila, Omarsa)"
amafructcp@gmail.com,Ama Fruct CP,RO,Horodniceni,https://www.amafructcp.ro,48099.12,shrimp,"Ecuador (Santa Priscila, Omarsa)"
amf@amf.ee,aktsiaselts A.M.F.HULGI,EST,Võru linn,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
andrea.blanchard@cobalys.fr,COBALYS,FRA,LIMOURS,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
andrea@queenrose.sk,"Queen Rose, s. r. o.",SVK,Bratislava,,74065,shrimp,"Ecuador (Santa Priscila, Omarsa)"
andrei.aistice@gmail.com,OÜ AistIce,EST,Sillamäe linn,,185432.24,shrimp,"Ecuador (Santa Priscila, Omarsa)"
andrzej.latusek@agroefekt.pl,P.H.P. AGRO-EFEKT SP. Z O.O.,POL,Perzów,,333904.00,shrimp,"Ecuador (Santa Priscila, Omarsa)"
anna.ksiazek@regis.com.pl,Regis sp. z o.o.,POL,Kraków,,905584.93,shrimp,"Ecuador (Santa Priscila, Omarsa)"
anna.ksiazek@uniproifo.pl,UNIPRO sp. z o.o.,POL,Kłaj,,1841385.55,shrimp,"Ecuador (Santa Priscila, Omarsa)"
anna-liisa.kauppila@flor.fi,FLÖR Kukka ja Puutarha Oy,FIN,Turku,,350000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
anneytsik@gmail.com,KALJU SIMPSON,EST, Lääne-Nigula vald,,70266.25,shrimp,"Ecuador (Santa Priscila, Omarsa)"
annicas.htg@gmail.com,Annica Nyberg,SE,Ojebyn,,900000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
ann-sofi.larsson@blomsterlandet.se,Blomsterlandet i Sverige AB,SE,MOLNLYCKE,http://www.blomsterlandet.se,2450000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
anobrega@gruponobrega.pt,"ANTONIO N NOBREGA II-IND COM  ALIM,SA",PRT,Funchal,,124400,shrimp,"Ecuador (Santa Priscila, Omarsa)"
antoon@sovain.se,Södertörns Växtinredning,SWE,Handen,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
a.paszkiewicz@widan.eu,WIDAN POLSKA Sp. z o.o. Sp. kom.,POL,Przemyśl,,473062,shrimp,"Ecuador (Santa Priscila, Omarsa)"
a.quesneville@chamoulaud.fr,FLEURS-I-TECH,FRA,SAINT-LAURENT-DU-VAR,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
arcencielfleur@orange.fr,ARC EN CIEL FLEURS DU SUD (ACA ARC EN CIEL FLEURS),FRA,Nice,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
arne@gjennestad.no,Gjennestad Drift,NOR,Stokke,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
arttu.haverinen@huutokoski.fi,Taimisto Huutokoski Oy,FIN,Huutokoski,,420000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
ase@brandmarks.se,Aktiebolaget Brändmarks Blommor,SWE,BORÅS,,400000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
aspihlaka@hot.ee,Aktsiaselts Pihlaka,EST,Rakvere linn,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
audrey.lemee@cobalys.fr,COBALYS,FRA,Limours,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
avo@bambona.com,aktsiaselts BAMBONA,EST, Tallinn,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
baan@wanadoo.fr,ETS BAAN,FRA,VULAINES,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
backoffice@marikomerc.hr,"MARIKOMERC, d.o.o.",HRV,Poličnik,https://marikomerc.hr/,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
badeaecoprod@yahoo.com,Ecoprod S.R.L.,RO,Isalnita,www.ecoprod.ro,2350000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
balmerk@balmerk.ee,Balmerk Estonia OÜ,EST, Tallinn,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
baumschulezech@t-online.de,Baumschule Zech Gartenbau & Landschaftspflege,DEU,Langenwetzendorf,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
beatrice.selo@groupe-fb.com,FRANS BONHOMME,FRA,Joue-Les-Tours,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
bert@feldts.se,Feldts Fisk & Skaldjur AB,SE,Kungshamn,,1600000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
bestflower@telia.com,PAA i Hammaro AB,SE,Karlstad,,3000000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
bestilling@fiskerikajen.dk,Fiskerikajen Engros ApS,DNK,Rødovre,,3000000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
bhp_ziajka@wp.pl,Healthy Food MD Sp. z o. o. ,POL,Leszno,,769129.1,shrimp,"Ecuador (Santa Priscila, Omarsa)"
b.imhof@imhofbio.ch,Imhofbio AG,CHE,Schwerzenbach,,3721608.70,shrimp,"Ecuador (Santa Priscila, Omarsa)"
biuro@adar-nawozy.pl,ADAR Handel Nawozami Sztucznymi Sp z o.o.,POL,Pakość,,188800,shrimp,"Ecuador (Santa Priscila, Omarsa)"
biuro@altix.pl,ALTIX Sp. z o.o.,POL,Warszawa,https://www.altix.pl/pl/,278232,shrimp,"Ecuador (Santa Priscila, Omarsa)"
biuro@blending.pl,Blending Sp. z o.o.,POL,Zduny,http://www.blending.pl/,769131.5,shrimp,"Ecuador (Santa Priscila, Omarsa)"
biuro@gardens-poznan.pl,Zakład Kształtowania Zieleni GARDENS Grzegorz Sobolewski,POL,Promnice,,39750,shrimp,"Ecuador (Santa Priscila, Omarsa)"
biurohandel79@interia.pl,Handel Obwozny Robert Dumana,PL,Nowy Wisnicz,,1549930.82,shrimp,"Ecuador (Santa Priscila, Omarsa)"
biuro@hurtfamilia.pl,FAMILIA SP.ZOO SP.K.,POL,Myślenice,,2524417.47,shrimp,"Ecuador (Santa Priscila, Omarsa)"
BIURO@HURTOWNIAFROZEN.PL,FROZEN Rafał Paciorkowski,POL,Brochów,,584480,shrimp,"Ecuador (Santa Priscila, Omarsa)"
biuro@ibiosfera.pl,Biosfera Tomala Olbryś Sp. K.,POL,Warszawa,,237665.7,shrimp,"Ecuador (Santa Priscila, Omarsa)"
biuro@jajaszkaradek.pl,Jerzy Szkaradek,POL,Nowy Sącz,,1530962.36,shrimp,"Ecuador (Santa Priscila, Omarsa)"
biuro@jawit.com.pl,"Jawit A. i J. Białas, L i W Lampara Spółka Jawna",POL,Krosno,,1858260,shrimp,"Ecuador (Santa Priscila, Omarsa)"
biuro@jcode.pl,JCODE SP. Z O.O.,POL,Gliwice,https://jcode.pl/,1331721,shrimp,"Ecuador (Santa Priscila, Omarsa)"
biuro@scampi.biz,SCAMPI Aleksander Ostrowski ,POL,MŚCICE,,1489380,shrimp,"Ecuador (Santa Priscila, Omarsa)"
biuro@secretzoo.pl,SEKRET Sp. z o. o.,POL,Gorzów Wielkopolski,,5078572.32,shrimp,"Ecuador (Santa Priscila, Omarsa)"
biuro@welman.com.pl,"P.P,H.U. Ireneusz Welman",POL,Kraśnik,,81210.15,shrimp,"Ecuador (Santa Priscila, Omarsa)"
biuro@woloch.pl,F.H.P. WOŁOCH ARTYKUŁY SPOŻYWCZE JAN WOŁOCH,POL,Miechów,,2524417.47,shrimp,"Ecuador (Santa Priscila, Omarsa)"
biuro@zjazdowa.dystrybucja.pl,Zjazdowa Dystrybucja Sp. z o.o.,PL,odz,,230654.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
biuro@zmlesniak.pl,Zakłady Mięsne Wiesław Leśniak,POL,Nowy Sącz,,2524417.47,shrimp,"Ecuador (Santa Priscila, Omarsa)"
bjorn.bengtsson@blomsterlandet.se,Blomsterlandet i Sverige AB,SE,MOLNLYCKE,http://www.blomsterlandet.se,2400000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
bjorn.riedel@nordsjofisk.se,Nordsjofisk Aktiebolag,SE,GOTEBORG,http://www.nordsjofisk.se,24000000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
blommor@melandersblommor.se,Melanders Blommor AB,SWE,Stockholm,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
