email,company,country,city,website,contract_value,sector,suppliers
abb@gr.abb.com,ASEA BROWN BOVERI    &      ..,GR,,www.abb.gr,7135621.91,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
alainletoffe@live.fr,SARL LETOFFE,FRA,Bucy-Le-Long,,223075.1,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
amia_invest_iasi@yahoo.com,AMIA INVEST,ROU,Iasi,https://www.e-licitatie.ro,252000,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
amura_con@abv.bg,АМУРАА-КОНСЕРВ-68 ООД,BGR,гр. Варна,,50000.00,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
an.christouproperties@hotmail.com,An. Christou Properties and Contructions Ltd.,CY,Limassol,https://www.eprocurement.gov.cy,571140.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
andreas.claasen@philips.com,Philips GmbH,DEU,Hamburg,,0.01,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
andreas.kurre@c-kurre.de,Tischlerei Clemens Kurre,DEU,Harkebrügge,,,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
angebot@schulte-scharrel.de,Bauelemente - Tischlerei   Theodor Schulte GmbH,DEU,Saterland,,,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
aop@cfdp.fr,CFDP,FRA,Toulouse,,,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
aprocomimpex@yahoo.com,APRO-COM-IMPEX S.R.L.,ROU,Slatina,,3959681.02,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
a.schuckenbrock@btt-trockenbau.de,BTT Trockenbau GmbH,DEU,Klein Berßen,,0.01,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
babalikis@roikos.gr,:    .. /   ..    ...,CY,,https://www.eprocurement.gov.cy,902840.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
bambina@cytanet.com.cy,Theophilides Gardens Ltd.,CY,,https://www.eprocurement.gov.cy,1875872.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
beyoufoto19@gmail.com,BEYOUFOTO S.R.L.,ROU,Galati,https://www.beyoufoto.com,252000,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
bobixstar@yahoo.com,BOBIX STAR S.R.L.,ROU,Curtea de Arges,https://www.bobixstar.ro,3959681.02,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
bueldt@maler-suerken.de,Malerfachbetrieb Sürken GmbH & Co. KG,DEU,Aschendorf,,0.01,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
central@z-a.gr,: + .    ...     ..,GR,,https://www.eprocurement.gov.cy,220000.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
chasapist@yahoo.gr,   ,GR, ,,175504.54,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
christiana@kythreotis.com.cy,K. KYTHREOTIS HOLDINGS PUBLIC LTD,CY,,https://www.eprocurement.gov.cy/epps,1165240.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
cip_1994@yahoo.com,FILVAS SERVCOM,ROU,Vaslui,,252000,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
clients@provencale.lu,La Provencale,LUX,Leudelange,,672000,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
colas.beauvais@colas.com,COLAS FRANCE - Etablissement de Beauvais,FRA,Beauvais,,399707.24,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
comenzi@falcons.ro,FALCONS,ROU,Tomsani,https://www.falcons.ro,3959681.02,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
comercial@amata-romania.ro,Italin Gross Impex,ROU,Bucuresti,,,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
comercial@anelafruits.com,"SAFRUNAT, S.L.",ESP,CAMPLLOG,,336553.28,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
comercial@rafaelsalgado.com,OLEOSALGADO S.A.U,ESP,GETAFE,,91400,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
commande.rhd@fornel.fr,FORNEL FRERES,FRA,Barbezieux-Saint-Hilaire,,,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
conservasanda@gmail.com,conservas anda,ESP,TORO ,,506775.35,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
contacto@astursantina.es,"ASTURSANTINA DISTRIBUCION, S.L.",ESP,LANGREO,,506775.35,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
contact@roquigny.fr,ENTREPRISE ROQUIGNY,FRA,Soissons,,223075.1,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
direction@mangeonsbioensemble.fr,SCIC Mangeons Bio Ensemble,FRA,Bressuire,,,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
dragan.milicevc@zvijezda.hr,ZVIJEZDA plus d.o.o.,HRV,Grad Zagreb,,461975,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
eprocurement.gov.cy@mekel.com.cy,MEKEL LTD,CY,,https://www.eprocurement.gov.cy/epps,1037294.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
