email,company,country,city,website,contract_value,sector,suppliers
000@00.NL,&Flux B.V.,NLD,Rotterdam,,86064,wine,"Argentina, Chile (Concha y Toro, Catena)"
0@0.cz,GC System a.s.,CZE,Brno - Trnitá,,93000000,wine,"Argentina, Chile (Concha y Toro, Catena)"
02035550280.padova@pec.ance.it,Mengato s.n.c. di Mengato Enzo & C.,ITA,Camposampiero,,6866701.26,wine,"Argentina, Chile (Concha y Toro, Catena)"
02364@agenzia.unipol.it,M.T.R.Assicurazioni S.R.L.,ITA,SENAGO,,691619.59,wine,"Argentina, Chile (Concha y Toro, Catena)"
02477@unipolsai.it,unica srl di sciamanna & marcantognini,IT,cagli (PU),,444500.0,wine,"Argentina, Chile (Concha y Toro, Catena)"
0g_826.01@pec.agentivittoria.it,VITTORIA ASSICURAZIONI SPA,ITA,Milano,,788550.58,wine,"Argentina, Chile (Concha y Toro, Catena)"
1128@pec.agenzie.unipolassicurazioni.it,UnipolSai Assicurazioni Spa,ITA,Bologna,,290898.44,wine,"Argentina, Chile (Concha y Toro, Catena)"
1306@pec.agenzie.unipolassicurazioni.it,CICCONI GILBERTO,ITA,Macerata (MC),,186041.35,wine,"Argentina, Chile (Concha y Toro, Catena)"
137_EKR@strabag.com,STRABAG Generálépítő Korlátolt Felelősségű Társaság,HUN,Budapest,https://www.strabag.hu,1634713736.00,wine,"Argentina, Chile (Concha y Toro, Catena)"
1591@pec.agenzie.unipolassicurazioni.it,AGENZIA ASSICURATIVA CASTELLANI MASSIMO Snc,ITA,Sansepolcro (AR),,115088.95,wine,"Argentina, Chile (Concha y Toro, Catena)"
2003@PEC.AGENZIE.UNIPOLASSICURAZIONI.IT,ASSICOOP MODENA & FERRARA S.P.A.,ITA,Modena,,2349000.00,wine,"Argentina, Chile (Concha y Toro, Catena)"
2melektro.ponude@gmail.com,2M ELEKTRO d.o.o.,HRV,Karlovac,,3640175.61,wine,"Argentina, Chile (Concha y Toro, Catena)"
