CUI,Denumire,Judet,Localitate,CAEN,CA_2023_RON,Membri,Salariati,Telefon,Email,Cod_Inmatriculare,Data_Inmatriculare,EUID,Tip_Societate,Adresa_Completa,Contact_RNCA,Stare,Bilant_2023
25999050,AGROPROD CRASNA COOPERATIVA AGRICOLĂ,Satu Mare,Supuru de Jos,1012,170374767,7,275,"0741533500, 0744792305",,C30/2/2009,2009-09-15,ROONRC.C30/2/2009,Cooperativa agricola de gradul 2,Nr. 120,Telefon: 0741533500; Telefon: 0744792305; ,funcţiune,DA
44902102,REGALINA COOPERATIVĂ AGRICOLĂ,Braşov,Râşnov,4633,37138096,6,1,0745257464,dragosal@yahoo.com,C8/11/2021,2021-09-14,ROONRC.C8/11/2021,Cooperativa agricola de gradul 2,"Str. CÂMPULUI, Nr. 1, clădire C2",Telefon mobil: 0745257464; Adresa de e-mail: dragosal@yahoo.com; ,funcţiune,DA
31145133,SAMUS LACT COOPERATIVA AGRICOLĂ,Satu Mare,Botiz,4633,36673941,14,7,,,C30/1/2013,2013-01-28,ROONRC.C30/1/2013,Cooperativa agricola de gradul 2,"Str. MIORIŢEI, Nr. 157",,funcţiune,DA
28264568,SOMES ARIES COOPERATIVA AGRICOLĂ,Cluj,Apahida,4633,35845504,54,19,0744476674,,C12/1/2011,2011-03-29,ROONRC.C12/1/2011,Cooperativa agricola de gradul 2,"Str. LIBERTĂŢII, Nr. 337A",Telefon: 0744476674; ,funcţiune,DA
29574508,BÂRSA PROD 2012 COOPERATIVA AGRICOLĂ,Prahova,Ploieşti,4633,33425561,5,31,0726299978,,C29/1/2017,2017-09-05,ROONRC.C29/1/2017,Cooperativa agricola de gradul 2,"Str. REZERVOARELOR, Nr. 2, Et. parter, Corp C6, incinta 18",Telefon mobil: 0726299978; ,funcţiune,DA
29542239,OVO PRODUCT COOPERATIVĂ AGRICOLĂ,Sibiu,Sibiu,4633,28956097,5,16,,,C32/1/2012,2012-01-13,ROONRC.C32/1/2012,Cooperativa agricola de gradul 2,"Str. VERZĂRIEI, Nr. 33A, Ap. 1",,funcţiune,DA
36223488,COOPERATIVA AGRICOLĂ AGROLACT MOLDOVA,Bacău,Sascut,1051,28109150,8,55,,,C4/3/2016,2016-06-21,ROONRC.C4/3/2016,Cooperativa agricola de gradul 2,"Str. Agrolact, Nr. 1",,funcţiune,DA
43260012,PĂSTRĂVUL DIN ȚARA TA COOPERATIVĂ AGRICOLĂ,Prahova,Slănic,4638,19025973,6,5,,,C29/2/2020,2020-10-29,ROONRC.C29/2/2020,Cooperativa agricola de gradul 2,"P-ţa CUZA VODĂ, Nr. 4",,funcţiune,DA
43510119,HARCOV MILK MEAT COOPERATIVĂ AGRICOLĂ,Harghita,Tuşnad,4633,18043726,10,1,,,C19/8/2020,2020-12-31,ROONRC.C19/8/2020,Cooperativa agricola de gradul 2,Nr. 346,,funcţiune,DA
40900087,COOPERATIVA AGRICOLĂ CRIŞANA LACT,Bihor,Tăut,4633,15873126,16,2,"0771674031, 0749671167",,C5/6/2019,2019-04-02,ROONRC.C5/6/2019,Cooperativa agricola de gradul 2,Nr. 164C,Telefon: 0771674031; Telefon: 0749671167; ,funcţiune,DA
28274995,TARNAVA MARE COOPERATIVA AGRICOLĂ,Harghita,Cristuru Secuiesc,1051,14583730,9,40,0745327963,,C19/1/2011,2011-03-30,ROONRC.C19/1/2011,Cooperativa agricola de gradul 2,"Str. ORBAN BALAZS, Nr. 5",Telefon mobil: 0745327963; ,funcţiune,DA
45215603,VEGETERRA COOPERATIVĂ AGRICOLĂ,Covasna,Cernat,4631,13690716,8,1,,,C14/33/2021,2021-11-12,ROONRC.C14/33/2021,Cooperativa agricola de gradul 2,Nr. 1/A,,funcţiune,DA
