name,email,city,phone,source
EUROVISCERNA SRL,a.i.agentieasia@g.ail.com,,+40725352584
Perfect Detailing Auto SRL,a.paraschiv61@yahoo.com,,+40734038528
NERTRANS CARGO SRL,a.zaharia@nertrans.com,Municipiul Galati,+40743159999,
AC AM ELA PROSPER SRL,ac_am2010@yahoo.com,,+40766217998
TEXCARGO SRL,accounting.texcargo@ponsa.com,Arad > MUNICIPIUL ARAD > ARAD,0257288035,
S.S.H. HIDROSERV S.A.,adela.condurache@hidroserv.ro,,+40741247994
ADER GLOBAL LOGISTIC SRL,adergloballogisticajofm@gmail.com,,
EDIL.PIERO SRL,adinacostan78@gmail.com,,+40767847713
ESPACK EUROLOGISTICA S.R.L.,adriana@auditsiexpertiza.ro,Dolj > MUNICIPIUL CRAIOVA > CRAIOVA,0741243435,
AEP INTERNATIONAL TRANSPORT S.R.L.,aepinternationaltrans@gmail.com,,+40784048899
FAMAROX COM SRL,agavriloaieamalia@yahoo.com,,+40749894852
D.E.C. CONSTRUCT SRL,albubianca31@yahoo.com,,+40732650770
ALEMIRCLEANING SRL,alemircleaning@gmail.com,,+40758694024
TASKFORCE LOGISTICS  S.R.L.,alex.gabriel.dragu@gmail.com,Timiș > MUNICIPIUL TIMISOARA > TIMISOARA,0735356054,
AGN MOVEMENT SRL,alex.hr@elec.ro,,+40749502502
TEUER INTL S.R.L.,alexandra.popa@teuer.ro,,+40752205919
SC SLCAM DELIVERY SRL,alexandru.micu@yahoo.com,Ilfov > MOGOSOAIA > MOGOSOAIA,0754949494,
S.C. RURAL ECONOMY SRL,alexticalo@gmail.com,,+40747148045
DIAVA CARS S.R.L.,alin_parvulescu@yahoo.com,,+40721783059
TRANS TRUCK SERVICES SRL,alinamesinschi@yahoo.com,,+40740133495
ALMINEC SOLUTION SRL,alminec.solution@gmail.com,,+40721400639
AMR PRESS BOX SRL,almos.simo@yahoo.com,,+40752173060
Alo Garage Solutions,alogaragesolutions@yahoo.com,,+40743428367
ALPHA FOOD DELIVERY SYSTEM S.R.L.,Alphafooddelivery@gmail.com,,+40799925065,
ALPHA SMART FOOD S.R.L.,alphasmartfood@yahoo.com,,+40721277762
ALPINA TEC LOGISTIC SRL,alpinateam.hr@gmail.com,Alba > ORAS CUGIR > CUGIR,0720085887,
alsoftrans logistics srl,alsoftrans_logistics@mail.ru,,+40754831721
ALUNU SRL,alunubals@yahoo.com,,+40740193270
GRAZIA S.R.L.,aly_grazy@yahoo.com,,+40766563880
CIOBI ALESSI TRANS SRL,alynusha2000@yahoo.com,,+40786603739
SC AMBIENT INTERMED SRL,ambientintermed@yahoo.com,,+40752119771
AUTOMOTORS FAI S.R.L.,anafilip71@yahoo.com,,
SOCIETATEA NATIONALA DE TRANSPORT GAZE NATURALE TRANSGAZ SA,anamaria.niculescu@transgaz.ro,MEDIAS,+40269801524,
SOCIETATEA PENTRU SERVICII DE MENTENANTA A RETELEI ELECTRICE DE TRANSPORT "SMART" SA,anca.dulgheru@smart-b.ro,,+40314257195,
MARCHIORI SPEDITION SRL,ancadiana82@yahoo.com,,+40742073022,
S.C. AUTOMOBILE BAVARIA S.R.L.,andreea.boboc@automobilebavaria.ro,,+40724200207
FISH TRANS LOGISTIC,andreea.iacob@fishtrans.ro,Darasti-Ilfov,+40215271807,
TRANSPORT CĂLĂTORI EXPRESS S.A.,andreea.mihalcea@ratph.ro,Prahova > MUNICIPIUL PLOIESTI > PLOIESTI,0244543751,
CHACHA SRL,andrei.iaver@yahoo.com,,+40723523309
DISTRIBUTIE ENERGIE OLTENIA S.A.,andrei.mitran1@distributieoltenia.ro,Craiova,+40372523231,
ANDROMEDA SERVICE SRL,andromedase@gmail.com,,+40257256858
AUTO LENIED A.N.M SRL,anvelope@autolenied.ro,,+40248510490
APOLLO PROBALAST SRL,apollo_probalast@yahoo.com,,+40766882482
ARANCA DELIVERY SRL,aranca@nicaerogroup.ro,,+40766530129,
ART GARAJ SERVICE SRL,artgarajservicesrl@yahoo.com,,+40724507409
ARTMAN SPEDITION SRL,artmanspedition@gmail.com,,+40756235469
ASCET COM SRL,ascetcom@yahoo.com,,+40754656656
ASOCIATIA EMOTII,asociatiaemotii@gmail.com,,+40743974300
Asociatia Keep Hope Alive,asociatiakeephopealive@gmai.com,,+40742972932
AS TRANS SRL,astrans@clicknet.ro,,+40250738492
ATHOS COM SRL,athosgrup@gmail.com,,+40260660654
CERES VENDOR SRL,attila.nagy@cere-s.ro,,+40753629697
CARGO TERRA S.R.L.,aurelia.mincu@cargogroup.ro,Municipiul Slobozia,+40722453410,
SC FUZSITUS TRANS SRL,autex68@gmail.com,,+40743483808
REIFEN CRISTIAN SRL,auto2transport@gmail.com,,+40769072278
Autoplax Center SRL,autoplax@gmail.com,,+40744374193
DN Gastrofam SRL,av.voicu@yahoo.com,,+40732466201
AUTO PIO SERVICE SRL,avram_dana76@yahoo.com,,+40740549259
COMPANIA NATIONALA POSTA ROMANA S.A BUCUREŞTI SUCURSALA BUCURESTI,b.resurseumane@ro.popst,,+40736705054
ADIMAD SRL,badisors@yahoo.com,,+40722443988
P&G Kraft Spedition,barbuteo1964@gmail.com,Pitești,0722232324,
BARNA LOGISTIC INSTAL S.R.L.,barnalogistic@gmail.com,Sat Tarian, Comuna Girisu de Cris,+40742630576,
SC ANVEBAS AUTO SRL,bass_bas2000@yahoo.com,,+40764584605
BCT TRANSPORT SRL,bct.transport@yahoo.ro,Timiș > GHIRODA,0755128990,
BELDANY CONSTRUCT SRL,beldanyconstruct@gmail.com,,+40753436921
MYBRA BER S.R.L.,berechetconstantin@yahoo.com,,+40724797170
ELECTRO-SERVICE DISTRIBUTIE SRL,biancaaasimion@gmail.com,Bucuresti Sectorul 3,+40250738743,https://genway.ro
ARAY BRICO DEPO SRL,birdeaelean@yahoo.com,,+40765049355
SC BIREME DELIVERY SRL,biremedelivery@gmail.com,Municipiul București > MUNICIPIUL BUCURESTI > BUCURESTI SECTORUL 4,0730 743 101,
VIS VLADISSHOP S.R.L.,birouvasilemarin@yahoo.com,,+40757455660
BOGDAN & GABRIEL EUROTRANSPORT,bogdan.gabriel.eurotransport@gmail.com,,+40767012080
PAKAN PRO WASH SRL,bogdanamihaela23@gmail.com,,+40732708769
S.C. SINEBO TOUR S.R.L.,bosinceanu.iulian@gmail.com,,+40745868899
BRT LOGISTICS EXPRESS S.R.L.,bretancasian90@gmail.com,,+40773959265,
BSY TRANSILVANIA TRANSPORT SRL,bsytransilvaniatransport@yahoo.com,,+40749993335,
JST RICAMBI SRL,butnaru.iustin@gmail.com,,+40747522257
BYAN LOGISTIC CEREAL,byanlogisticcereal@yahoo.com,,+40730775307
BYM AUTO LOGISTICS SRL,bymautologistics@gmail.com,Giurgiu > ROATA DE JOS > SADINA,0761657727,
ATS ALP TRANSPORT SRL,c_padurean@yahoo.com,,+40745257338
C&A FRACHT TRANSPORT LOGISTIK SRL,cafracht@yahoo.com,Giurgiu > OINACU > BRANISTEA,0246211452,
FMCG MARKETING DISTRIBUTIE SRL,camelia.panait@fmcgmanagement.ro,Municipiul București > MUNICIPIUL BUCURESTI > BUCURESTI SECTORUL 1,5296625,
CĂMINUL DE BĂTRÂNI HAPPY DAYS S.R.L.,caminuldebatranihappydays@gmail.co,,+40767640924
CARGO TRANS SRL,cargo.trans@yahoo.com,CISNADIE,,
Compania Nationala de Transporturi Aeriene Romane TAROM,cariera@tarom.ro,Otopeni,0212013803,
RK PUBLICITY S.R.L,carinareznek@yahoo.com,,+40733334008
CARITABIL SRL,caritabil@hotmail.com,,0269
AVANTI FOOD DELIVERY SRL,catabt2000@yahoo.com,Botoșani > MUNICIPIUL BOTOSANI > BOTOSANI,0741658657,
MADRISA WASH,catalin_tatiuc@yahoo.com,,+40730338633
MIRADA MOBILE AUTO S.R.L.,catalinciuca22@yahoo.com,,+40724557703
CTL & GEORGY SRL,catalind.costache@yahoo.com,,+40765892050
GABMAR TRANSPORT SRL,ceadirgeanuliliana@gmail,,+40724395480,
SC DYRP TRANS SRL,ceclanpaula@yahoo.com,,+40728926551
ERICSEM LOGISTIC S.R.L.,cerasela.tigau@gmail.com,Valea Mare Pravat,+40747633324,
EUROCIS LOGISTIC S.R.L.,cfiscalitate@gmail.com,Bucuresti Sectorul 3,+40731722000,
CHIMPROD SRL,chimprod94@gmail.com,,+40262223457
MG BROTHERS CONSULTING 777 S.R.L.,chiriac.marian92@gmail.com,,+40752979099
ADASPRO CALIBRATIONS TIM S.R.L.,clasebexpert@yahoo.com,,+40771242604
DAV PAN 03 SRL,clatinici.roxana@yahoo.com,,+40740787954
TURBOFLY TRANS SRL,cliofosvaleriu@gmail.com,,+40740256021
CNC SYSTEM,cnc.system@yahoo.com,,+40732116416
CNT FOREST SRL,cntforest@yahoo.com,,+40743031057
MOLDOVAN EVENTS S.R.L.,colcernastasiadelia@yahoo.com,,+40763648231
UZINA DE SPALAT SRL,constanta.sava@uzinadespalat.ro,,+40728700777
CONSTRUCT DRAGUS COM IMPEX SRL,constructdragus@yahoo.com,,+40724508593
TODORUT INTERNATIONAL SRL,consultingalpa@gmail.com,,+40256243737
CAT PLUS DELIVERY S.R.L.,conta.cristinasabau@gmail.com,Cluj > MUNICIPIUL CLUJ-NAPOCA > CLUJ-NAPOCA,0725926197,
