First Name,Middle Name,Last Name,Phonetic First Name,Phonetic Middle Name,Phonetic Last Name,Name Prefix,Name Suffix,Nickname,File As,Organization Name,Organization Title,Organization Department,Birthday,Notes,Photo,Labels,E-mail 1 - Label,E-mail 1 - Value,E-mail 2 - Label,E-mail 2 - Value,E-mail 3 - Label,E-mail 3 - Value,E-mail 4 - Label,E-mail 4 - Value,Phone 1 - Label,Phone 1 - Value,Phone 2 - Label,Phone 2 - Value,Phone 3 - Label,Phone 3 - Value,Phone 4 - Label,Phone 4 - Value,Address 1 - Label,Address 1 - Formatted,Address 1 - Street,Address 1 - City,Address 1 - PO Box,Address 1 - Region,Address 1 - Postal Code,Address 1 - Country,Address 1 - Extended Address,Website 1 - Label,Website 1 - Value,Website 2 - Label,Website 2 - Value,Website 3 - Label,Website 3 - Value,Website 4 - Label,Website 4 - Value,Website 5 - Label,Website 5 - Value,Custom Field 1 - Label,Custom Field 1 - Value,Custom Field 2 - Label,Custom Field 2 - Value,Custom Field 3 - Label,Custom Field 3 - Value,Custom Field 4 - Label,Custom Field 4 - Value,Address 2 - Label,Address 2 - Formatted,Address 2 - Street,Address 2 - City,Address 2 - PO Box,Address 2 - Region,Address 2 - Postal Code,Address 2 - Country,Address 2 - Extended Address,score,segment
,,office@conceptfrucht.com,,,,,,,,"""Concept"" Fruchthandel Und -marketing GmbH",,,,"Objekt: A12
Telefon: +43 1 616 84 40
Homepage: www.conceptfrucht.com
Obst, Gemüse: x",,* myContacts ::: Vienna Wholesalers Fruit Vegetables ::: * myContacts ::: * starred ::: wholesale_at_vienna,* Other,office@conceptfrucht.com,,,,,,,Work Fax,+431616844010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,business_austria
,,aibler@eishken.at,,,,,,,,"Eishken Estate,Rauch-und Frischfischvertriebs Gesellschaft m.b.H.",,,,"Objekt: A02
Telefon: +43 1 889 37 33
Homepage: www.eishken.at
Fisch: x
Lebensmittel: x",,* myContacts ::: Vienna Wholesalers Fruit Vegetables ::: * myContacts ::: Importado el 20/4/18 ::: Vienna Wholesalers Fruit Vegetables ::: * myContacts ::: wholesale_at_vienna,* Other,aibler@eishken.at,,,,,,,Work Fax,+4318893080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,business_austria
,,alfred.ehrentraud@aon.at,,,,,,,,EHRENTRAUD Alfred,,,,"Objekt: FF
Telefon: +43 676 459 00 02
Obst, Gemüse: x
Zustellung: x",,* myContacts ::: Vienna Wholesalers Fruit Vegetables ::: * myContacts ::: Importado el 20/4/18 ::: Vienna Wholesalers Fruit Vegetables ::: * myContacts ::: wholesale_at_vienna,* Other,alfred.ehrentraud@aon.at,,,,,,,Work Fax,+4329557323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,business_austria
,,ali.celik@speed.at,,,,,,,,Ali Celik KG,,,,"Objekt: C18
Telefon: +43 1 616 61 37
Homepage: www.celiker.at
Obst, Gemüse: x",,* myContacts ::: Vienna Wholesalers Fruit Vegetables ::: * myContacts ::: Importado el 20/4/18 ::: Vienna Wholesalers Fruit Vegetables ::: * myContacts ::: wholesale_at_vienna,* Other,ali.celik@speed.at,,,,,,,Work Fax,+4316166141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,business_austria
,,altschachl-kraeuter@aon.at,,,,,,,,ALTSCHACHL Johann,,,,"Objekt: C04
Telefon: +43 664 105 09 94
Homepage: www.altschachl-kraeurter.at
Lebensmittel: x",,* myContacts ::: Vienna Wholesalers Fruit Vegetables ::: * myContacts ::: Importado el 20/4/18 ::: Vienna Wholesalers Fruit Vegetables ::: * myContacts ::: wholesale_at_vienna,* Other,altschachl-kraeuter@aon.at,,,,,,,Work Fax,+4322492892811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,business_austria
,,aneubauer@aon.at,,,,,,,,NEUBAUER Alexander,,,,"Objekt: C15
Telefon: +43 1 616 80 92
Obst, Gemüse: x",,* myContacts ::: Vienna Wholesalers Fruit Vegetables ::: * myContacts ::: wholesale_at_vienna,* Other,aneubauer@aon.at,,,,,,,Work Fax,+431616809214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,business_austria
,,bestellung@fruchtstadl.at,,,,,,,,Fruchtstadl Handel mit Obst und Gemüse GmbH,,,,"Objekt: C12
Telefon: +43 1 985 18 95
Homepage: www.fruchtstadl.at
Obst, Gemüse: x
Bio-Produkte: x
Zustellung: x",,* myContacts ::: Vienna Wholesalers Fruit Vegetables ::: * myContacts ::: Importado el 20/4/18 ::: Vienna Wholesalers Fruit Vegetables ::: * myContacts ::: wholesale_at_vienna,* Other,bestellung@fruchtstadl.at,,,,,,,Work Fax,+431985189533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,business_austria
,,bestellung@vitana.at,,,,,,,,Vitana Salat- Und Frischeservice GmbH,,,,"Objekt: A05
Telefon: +43 1 616 71 86
Homepage: www.vitana.at
Obst, Gemüse: x
Lebensmittel: x",,* myContacts ::: Vienna Wholesalers Fruit Vegetables ::: * myContacts ::: wholesale_at_vienna,* Other,bestellung@vitana.at,,,,,,,Work Fax,+431616718620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,business_austria
,,central@dorfingers.at,,,,,,,,DORFINGER KG,,,,"Objekt: C12
Telefon: +43 1 616 99 40
Homepage: www.dorfingers.at
Obst, Gemüse: x
Zustellung: x",,* myContacts ::: Vienna Wholesalers Fruit Vegetables ::: * myContacts ::: Importado el 20/4/18 ::: Vienna Wholesalers Fruit Vegetables ::: * myContacts ::: wholesale_at_vienna,* Other,central@dorfingers.at,,,,,,,Work Fax,+4316163957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,business_austria
,,e.strobl@e-u-h-strobl.at,,,,,,,,"Strobl, Eduard U Johann Gesellschaft M.b.H.",,,,"Objekt: A09
Telefon: +43 1 616 89 20-0
Obst, Gemüse: x",,* myContacts ::: Vienna Wholesalers Fruit Vegetables ::: * myContacts ::: wholesale_at_vienna,* Other,e.strobl@e-u-h-strobl.at,,,,,,,Work Fax,+4316168095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,business_austria
